Aidonia Treasure , is , collection
Aidonia Treasure , is collection in , looted objects
Aidonia Treasure , is collection in , objects
Aidonia Treasure , is collection of , Mycenaean gold
Aidonia Treasure , is , in looted objects collection of gold
Aidonia Treasure , is , in objects collection of gold
Aidonia Treasure , is collection of , gold
Aidonia Treasure , is , in looted objects collection of Mycenaean gold
cemetery , is in , late 1970s
Aidonia Treasure , is , in objects collection of Mycenaean gold
collection , is in , looted objects
northeastern Peloponnesian district , is in , Greece
ten kilometres , is in , northeastern Peloponnesian district of Corinthia
looters , is in , Greece
local government officials , participated in , plunder Miller 1997
local government officials , even participated in , plunder Miller 1997
government officials , participated in , plunder Miller 1997
government officials , even participated in , plunder Miller 1997
objects , been smuggled out of , Greece hidden in watermelons
Looted objects , been smuggled out of , Greece hidden
objects , been smuggled out of , Greece
Looted objects , were , rumoured
objects , were , rumoured
objects , been , smuggled
Looted objects , were rumoured , have smuggled
Looted objects , been smuggled out of , Greece
objects , been smuggled out of , Greece hidden
objects , were rumoured , have smuggled
Looted objects , been smuggled out of , Greece hidden in watermelons
Looted objects , been , smuggled
Archaeological Service , assigned guard to , site
Greek Archaeological Service , assigned , guard
Archaeological Service , assigned , guard
Greek Archaeological Service , assigned guard In , November 1977
Greek Archaeological Service , assigned guard to , site
Archaeological Service , assigned guard In , November 1977
Twenty chamber tombs , were , discovered
chamber tombs , were , discovered
remaining eighteen tombs , had , had emptied of their contents
tombs , had , had largely emptied of their contents
pit , dug into , floor
tombs , had , had emptied
remaining eighteen tombs , had , had largely emptied
eighteen tombs , had , had emptied
eighteen tombs , had , had largely emptied of their contents
eighteen tombs , had , had emptied of their contents
tombs , had , had emptied of their contents
remaining tombs , had , had emptied of their contents
remaining eighteen tombs , had , had emptied
eighteen tombs , had , had largely emptied
remaining eighteen tombs , had , had largely emptied of their contents
remaining tombs , had , had largely emptied
tombs , had , had largely emptied
remaining tombs , had , had largely emptied of their contents
remaining tombs , had , had emptied
looters , had overlooked in , Tomb 7
pit , dug into , floor of tomb
it , contain , assemblage
it , was found After , excavation
it , was , found
it , contain , assemblage of gold jewelry
Mycenaean chamber tombs , typically contain , several interments
Mycenaean chamber tombs , contain , several interments
chamber tombs , contain , interments
chamber tombs , typically contain , interments
Mycenaean chamber tombs , contain , interments
chamber tombs , contain , several interments
Mycenaean chamber tombs , typically contain , interments
chamber tombs , typically contain , several interments
Nothing , much was heard about , plundered Aidonia cemetery
Nothing , was heard until , April 1993
Nothing , was , heard outside Greece until April 1993
Nothing , was , heard outside Greece about plundered Aidonia cemetery
New York 's Michael Ward Gallery , offered on , display
Nothing , was , heard outside Greece about plundered Aidonia cemetery until April 1993
Nothing , was heard outside , Greece
Nothing , was , much heard outside Greece about Aidonia cemetery
Nothing , was heard about , Aidonia cemetery
Nothing , was , much heard outside Greece about plundered Aidonia cemetery
Nothing , was , much heard outside Greece about plundered Aidonia cemetery until April 1993
Nothing , was , much heard about plundered Aidonia cemetery until April 1993
Nothing , was heard about , plundered Aidonia cemetery
Nothing , was , heard outside Greece about Aidonia cemetery
Nothing , was , heard about plundered Aidonia cemetery until April 1993
Nothing , was , heard outside Greece about Aidonia cemetery until April 1993
New York , has , Michael Ward Gallery
Nothing , was , much heard outside Greece about Aidonia cemetery until April 1993
Nothing , was , much heard outside Greece until April 1993
Nothing , was , heard about Aidonia cemetery until April 1993
Nothing , was , heard
Nothing , much was heard outside , Greece
Nothing , much was heard about , Aidonia cemetery
Nothing , was , much heard about Aidonia cemetery until April 1993
Nothing , much was heard until , April 1993
Nothing , was , much heard
catalogue , could offer , collector provenance
catalogue , could offer , European collector provenance
entitled , Gold of , Mycenaeans
catalogue , could only offer , collector provenance
catalogue , could only offer , European collector provenance
display , entitled , Gold
catalogue , accompanying , display
catalogue , is with , introduction by archaeologist John Betts
display , entitled , Gold of Mycenaeans
Potential customers , were , reassured however
Potential customers , were reassured by , catalogue
gold analyses , conducted by , Jack Ogden
Potential customers , were reassured however by , catalogue
gold analyses , guaranteed , authenticity of material
gold analyses , conducted by , Jack Ogden Cambridge Centre
Potential customers , were , reassured
gold analyses , conducted by , Jack Ogden Cambridge Centre Metal Research
gold analyses , guaranteed , authenticity
gold analyses , conducted by , Jack Ogden Cambridge Centre Precious Metal Research
gold analyses , authenticity of , material
price , was , US$ 1.5 million
asking price , was , US$ 1.5 million
objects , were described as , rare gold baubles
objects , were , where described as rare gold baubles
display , was trailed On , 4 April 1993
display , was , trailed
objects , were , where described as gold baubles
objects , were described as , gold baubles
objects , were , where described
objects , were , described
archaeologist Ricardo Elia , alerted Consul General on , 6 April
archaeologist Ricardo Elia , later alerted Consul General on , 6 April
archaeologist Ricardo Elia , later alerted , Consul General of Greece
archaeologist Ricardo Elia , alerted Consul General to , material
archaeologist Ricardo Elia , alerted Consul General in , New York
archaeologist Ricardo Elia , alerted , Consul General of Greece
archaeologist Ricardo Elia , alerted , Consul General
archaeologist Ricardo Elia , later alerted , Consul General
archaeologist Ricardo Elia , alerted Consul General to , material on display
archaeologist Ricardo Elia , later alerted Consul General to , material
archaeologist Ricardo Elia , later alerted Consul General to , material on display
archaeologist Ricardo Elia , later alerted Consul General in , New York
material , been , looted
material , been looted from , Elia 1995
material , been looted from , Aidonia
committee , investigate , possible origin
Greek Ministry , obtaining , copy
Greek Ministry , convened , committee of experts
Greek Ministry , convened , committee
Ministry , convened , committee of experts
Greek Ministry , obtaining , copy of catalogue
committee , investigate , possible origin of material
Ministry , obtaining , copy
Ministry , obtaining , copy of catalogue
Ministry , convened , committee
those , offered for , sale New York
sale , is in , New York
New York material , must , must have looted from Aidonia
New York material , must , must have looted
those , offered for , sale
it , letter from , Athenian lawyer asking for information
it , letter from , lawyer asking
it , letter from , Athenian lawyer asking
it , letter from , Athenian lawyer
letter , is in , 1992
it , letter from , lawyer asking for information about objects
it , letter in , 1992
it , letter from , Athenian lawyer asking for information about objects
it , letter from , lawyer
it , letter from , lawyer asking for information
attorneys , notified , Ward
material , was , property
attorneys , notified Ward On , 14 May 1993
its , return , Elia 1991
