its location , was , unknown
global traffic , is in , looted objects
It , been , has recently identified in Peten region of Guatemala
It , been , has identified in Peten region
It , been , has identified
It , been , has recently identified
It , been , has identified in Peten region of Guatemala
It , been , has recently identified in Peten region
number , began , appear
number , began , appear on art market
number , began In , 1960s
number , began In , mid 1960s
number , appear on , art market
site name , recorded on , some
panels , could , could tied
site name , recorded on , some objects
panels , could , could tied to region
panels , could , could stylistically tied to region
panels , could , could tied to Petén region
panels , could , could stylistically tied to Petén region
panels , could , could stylistically tied
It , became , clear
site unknown , being looted in , deep jungle of Guatemala
archaeological site , being , looted
archaeological site , being looted in , deep jungle of Guatemala
site unknown , being , looted
site , being looted in , jungle of Guatemala
interesting site , being looted in , deep jungle of Guatemala
interesting site unknown , being looted in , deep jungle
interesting archaeological site unknown , being looted in , jungle of Guatemala
interesting site , being looted in , deep jungle
It , quickly became , clear
site , being looted in , jungle
site unknown , being looted in , jungle of Guatemala
archaeological site , being looted in , jungle of Guatemala
interesting site unknown , being looted in , deep jungle of Guatemala
site , being looted in , deep jungle
archaeological site unknown , being , looted
archaeological site unknown , being looted in , jungle of Guatemala
interesting archaeological site unknown , being looted in , deep jungle
interesting site , being looted in , jungle
interesting archaeological site , being , looted
interesting site unknown , being looted in , jungle of Guatemala
interesting archaeological site unknown , being looted in , deep jungle of Guatemala
site unknown , being looted in , deep jungle
interesting site unknown , being looted in , jungle
archaeological site , being looted in , deep jungle
interesting archaeological site unknown , being looted in , jungle
interesting archaeological site , being looted in , deep jungle of Guatemala
site unknown , being looted in , jungle
interesting archaeological site , being looted in , jungle
interesting archaeological site , being looted in , jungle of Guatemala
interesting archaeological site unknown , being , looted
site , being , looted
archaeological site unknown , being looted in , deep jungle of Guatemala
interesting site , being looted in , jungle of Guatemala
interesting archaeological site , being looted in , deep jungle
interesting site unknown , being , looted
archaeological site unknown , being looted in , jungle
site , being looted in , deep jungle of Guatemala
archaeological site , being looted in , jungle
interesting site , being , looted
archaeological site unknown , being looted in , deep jungle
two ball players , purchased by , Art Institute
two ball players , purchased by , Art Institute Chicago
two ball players , purchased in , 1965
two ball players , purchased from , New York antiquities dealer Walter Randall $ 12,500
two ball players , purchased from , New York antiquities dealer Walter Randall
snake , of , head
Archaeologist Peter Matthews , student at , Yale
He , called , unknown Maya city
He , called , Maya city
He , called , unknown city
He , called , city
his colleagues , devoted , significant amount of time
