US federal agents , Researching , global traffic in objects
US federal agents , Researching , traffic in objects
US agents , enabling , conspiracy
US agents , Researching , global traffic in objects
US federal agents , enabling , conspiracy
US agents , premises of , two antiquities dealerships
US agents , Researching , global traffic
US federal agents , Researching , global traffic in looted objects
US federal agents , Researching , traffic
US agents , Researching , global traffic in looted objects
US agents , Researching , traffic
US federal agents , premises of , two antiquities dealerships
US agents , Researching , traffic in looted objects
global traffic , is in , looted objects
US agents , Researching , traffic in objects
US agents , Researching traffic In , January 2008
US federal agents , Researching traffic In , January 2008
US federal agents , Researching , global traffic
US federal agents , Researching , traffic in looted objects
US agents , raided , premises of two antiquities dealerships
US agents , raided , premises of two antiquities dealerships in California
two antiquities dealerships , is in , California
US federal agents , raided , premises of two antiquities dealerships in California
US agents , raided premises On , 24 January 2008
US agents , raided , premises
US federal agents , raided , premises of two antiquities dealerships
US federal agents , raided premises On , 24 January 2008
US federal agents , raided , premises
dealers , were , Robert Olson
dealers , husband of , Jonathan
Silk Roads Gallery , is in , Los Angeles
dealers , husband of , proprietors of Silk Roads Gallery
Jonathan , proprietors of , Silk Roads Gallery in Los Angeles
dealers , husband of , proprietors of Silk Roads Gallery in Los Angeles
dealers , husband of , proprietors
museums , were , Los Angeles County Museum
museums , were , Los Angeles County Museum of Art
Art , of Museum is , Bowers Museum
raids , were culmination of , investigation conducted
raids , were , culmination
raids , were culmination of , investigation
They , were justified by , evidence
They , were justified by , evidence collected by agent
They , were justified by , evidence collected
They , were justified by , evidence collected by agent recruited
They , were , justified
federal land , is in , USA
Affidavits , stated , probable cause
Affidavits , lodged with , US Central District
Olson , 's case is , National Stolen Property Act
Olson , in , case from federal land in USA in violation of Archaeological Resources Protection Act
violation , in case is , National Stolen Property Act
Affidavits , stated , probable cause believe
federal land , from case is , National Stolen Property Act
Affidavits , lodged , stated
Olson 's case , is in , violation of Archaeological Resources Protection Act
Affidavits , lodged with , US Central District of California Court
Olson , provided artefacts with , valuations for donation to museums
Olson , provided artefacts with , falsely inflated valuations for tax-deductable donation
Olson , provided artefacts with , falsely inflated valuations for donation to museums
Olson , provided , Markell
Olson , inflated valuations , Markell
Olson , provided artefacts with , valuations for donation
Olson , provided artefacts with , valuations for tax-deductable donation
Olson , provided artefacts with , inflated valuations for donation to museums
Olson , provided artefacts with , inflated valuations
Olson , falsely inflated valuations , Markell
Olson , valuations , Markell
Olson , provided , artefacts
Olson , provided artefacts with , falsely inflated valuations
Olson , provided artefacts with , inflated valuations for donation
Olson , provided artefacts with , falsely inflated valuations for donation
Olson , provided artefacts with , inflated valuations for tax-deductable donation to museums
Olson , provided artefacts with , falsely inflated valuations for tax-deductable donation to museums
Olson , provided artefacts with , inflated valuations for tax-deductable donation
Olson , provided artefacts with , valuations
Olson , provided artefacts with , valuations for tax-deductable donation to museums
investigation , centered on , Ban Chiang artefacts
investigation , centered on , Ban Chiang artefacts Thailand
artefacts , be , sold
artefacts , be sold to , collectors
himself , be , wholesaler
proprietor , importing , artefacts
Olson , claimed , have started
meeting , is in , 1979
meeting , is with , Armand Labbé
Olson , is , quoted
major display , is in , 1985
He , sold , them
He , bought , hundreds of pieces ' of Ban Chiang pottery
He , bought , hundreds of pieces '
He , bought , hundreds
material , arranging , shipped by air
material , arranging , shipped
material , arranging with , shipping company
he , maintained , warehouse
he , maintained , warehouse at East Anaheim
material , arranging with , shipping company for it
Olson , would visit , Thailand
illegal diggers , is in , Thailand
Buddha statue , was described as , sitting man
Buddha statue , was , For example described as sitting man
bronze drum , was , described
Buddha statue , was described as , man
bronze drum , was described as , USA 2008
bronze drum , was described as , table
Buddha statue , was , described
Buddha statue , was , For example described as man
Buddha statue , was described For , example
2006 ship , of , cargo of pottery ware
sample bill , originating in , Chiang Mai
possible route , taken by , shipments
possible route , is , shown
Olson 's business , seems By , time
Olson 's business , seems , have dwindled
Olson 's business , seems By , time of 2008 raids
Olson , has , business
warehouse , was , gone
his material , was stored at , home
his material , was , stored
He , was conducting , business
He , selling material in , United States
He , was conducting business over , phone
He , selling , material on eBay
He , selling , material
He , was conducting , business in Thailand
business , is in , Thailand
death , is in , 2005
Olson 's customers , included , Markells
Olson , has , customers
them , import , pieces
Olsen , claimed , both
them , import pieces from , South Asia
them , import pieces from , USA 2008b
he , dealing in , Thai material
he , started at , first
he , started , dealing in Thai material in 1988
himself , buy , material
himself , buy , USA 2008b
he , dealing in , 1988
he , started , dealing in 1988
he , started at , first through Olson
he , started , dealing in Thai material
he , started , dealing
customers , evade tax by , appraisals
customers , evade tax by , appraisals of artifacts
customers , evade tax by , appraisals of artifacts intended for donation to museums
customers , evade , tax
Olson , engaged , Markells
customers , evade tax by , appraisals of artifacts intended for charitable donation
customers , evade tax by , fraudulent appraisals
customers , evade tax by , fraudulent appraisals of artifacts intended for donation to museums
customers , evade tax by , fraudulent appraisals of artifacts
Olson , were engaged in , practices designed
customers , evade tax by , fraudulent appraisals of artifacts intended for donation
customers , evade tax by , appraisals of artifacts intended for donation
customers , evade tax by , fraudulent appraisals of artifacts intended for charitable donation to museums
customers , evade tax by , fraudulent appraisals of artifacts intended for charitable donation
Olson , were engaged in , practices
customers , evade tax by , appraisals of artifacts intended for charitable donation to museums
it , claimed , suggested
customers , evade tax by , appraisals of artifacts intended
Olson , were , engaged
customers , evade tax by , fraudulent appraisals of artifacts intended
Tom Hoyt , is with , Olson supplying
California dealer , Malter of , Malter Galleries
Encino , in dealer is , Joel Malter of Malter Galleries
Olson , first used for , appraisals
California dealer , is in , Encino
Olson , used , Joel Malter
Olson , used , Joel Malter of Malter Galleries
Olson , first used , Joel Malter of Malter Galleries
Olson , used for , appraisals
Olson , first used , Joel Malter
Labbé , 's girlfriend is , USA 2008a
Malter , supplying , them
Labbé , has , girlfriend
Markell , prepared , appraisals
Bangkok University , of , Southeast Asian Ceramics Museum
Markell , prepared , appraisals himself
Markell , validated , them
Bangkok University , 's Museum is , USA 2008b
Roxanna Brown , curator of , Bangkok University 's Southeast Asian Ceramics Museum
Markell , made donations in , name
Markell , made donations to , Los Angeles County Museum of Art
Markell , made donations in , name of his brother-in-law
Markell , made , donations
Markell , made donations to , Los Angeles County Museum
maximum rate taxpayer , is in , 2008
maximum rate taxpayer , for $ is , Wald 2008
It , was , estimated
objects , were of , usually low monetary value
objects , were of , value
objects , were of , usually monetary value
objects , were of , low value
objects , were of , usually low value
objects , were of , usually value
objects , were of , low monetary value
objects , were of , monetary value
fee , paid to , Markell
Purchase price , includes , cost
Purchase price , includes , cost of material
fee , paid for , appraisal
federal agents , also searched , private museum
federal agents , also searched , private museum of Barry MacLean
federal agents , searched museum at_time , same day as California museum raids
agents , also searched , museum
agents , searched , museum of Barry MacLean
federal agents , also searched museum at_time , same day
federal agents , searched museum at_time , same day
federal agents , also searched , museum
federal agents , searched , museum of Barry MacLean
agents , searched museum at_time , same day as California museum raids
agents , searched , private museum
agents , also searched , museum of Barry MacLean
federal agents , also searched museum at_time , day
agents , searched museum at_time , same day
agents , also searched museum at_time , day
federal agents , searched , private museum of Barry MacLean
agents , searched , museum
federal agents , searched , museum
federal agents , searched museum at_time , day as California museum raids
agents , searched , private museum of Barry MacLean
federal agents , searched , private museum
agents , also searched , private museum
agents , also searched museum at_time , same day
agents , also searched , private museum of Barry MacLean
Barry MacLean , trustee of , Art Institute
federal agents , searched museum at_time , day
federal agents , also searched , museum of Barry MacLean
federal agents , also searched museum at_time , same day as California museum raids
agents , also searched museum at_time , same day as California museum raids
federal agents , also searched museum at_time , day as California museum raids
agents , searched museum at_time , day as California museum raids
agents , also searched museum at_time , day as California museum raids
agents , searched museum at_time , day
MacLean , had purchased , $ 50,000
he , acquired , material from Olson
he , acquired , material
he , material from , Olson
affidavit , mentioning , dealers Michael Malter
further affidavit , mentioning , dealers Michael Malter
further affidavit , was issued against , Malter Galleries
affidavit , was , issued
further affidavit , was , issued
affidavit , was issued against , Malter Galleries
Perez , introduced , Hoyt Olson
Perez , is , alleged
agents , arrested Roxanna Brown On , 9 May 2008
she , arrived in , Seattle
agents , arrested Roxanna Brown in , action to January raids
federal agents , arrested Roxanna Brown in , action
federal agents , arrested Roxanna Brown in , follow-up action to January raids
she , deliver , academic lecture
agents , arrested , Roxanna Brown
agents , arrested Roxanna Brown in , follow-up action to January raids
