main Antarctic Treaty , came into , force
sites , associated with , exploration
Treaty , came into , force in 1961
Antarctic Treaty , came into , force
main Treaty , came into , force in 1961
Antarctic Treaty , came into , force in 1961
main Antarctic Treaty , came into , force in 1961
sites , associated with , exploration continent
global traffic , is in , looted objects
main Treaty , came into , force
force , is in , 1961
Treaty , came into , force
Items , have , have subject to voluntary return
Items , have , have subject to return
Items , have , have subject
team , beaten , them
group , arrived , only find
Norwegian team , beaten there , them
Norwegian team , led by , Roald Amundsen
group , arrived , find
Norwegian team , beaten , them
group , arrived at , South Pole
team , led by , Roald Amundsen
team , beaten there , them
Amundsen , had , had engaged
Amundsen , had , had engaged in race
Amundsen , become , human
Amundsen , become , Scott
Amundsen , become , first human
Scott , spotting , remains of one of Amundsen 's camps on 16 January
Scott , recounts In , his journal
Scott , spotting , remains of one of Amundsen 's camps
Scott , spotting , remains of one Amundsen 's camps
Amundsen , of , camps on 16 January
Scott , spotting , remains of one Amundsen 's camps on 16 January
Scott , spotting , remains
it , be , wearisome
it , will , will return
I , am sorry for , my companions
It , is , terrible
I , am , sorry
it , will , will wearisome return
I , am sorry for , my loyal companions
Scott , entry for , 17 January 1912
This , is , awful
This , is , awful place
This , is , place
Scott , left , his party
remaining explorers , made , their camp
three remaining explorers , made , their camp
remaining explorers , made , their final camp
three remaining explorers , made , their final camp
Scott , left pole on , 19 January
Scott , left , pole
Scott , died based on , final entry
Scott , is , thought
Scott , died based on , final entry in his diary
final entry , is in , his diary
Scott , died based on , entry in his diary
Scott , died based on , entry
He , is thought , have last of men
He , is thought , have last
He , is , thought
located , bodies of , Scott
tent , cairn , bodies
They , buried , tent
They , buried tent under , cairn
They , buried tent under , cairn of snow
expedition , has , records
They , recovered , expedition 's records
expedition 's records , marking , it
several sites , associated with , their journey
sites , been visited by , adventure tourists
final place , is , inaccessible
several other sites , been visited by , Antarctic adventure tourists
sites , associated with , their journey
several other sites , been periodically visited by , Antarctic adventure tourists
several sites , been periodically visited by , adventure tourists
place , is , inaccessible
other sites , been visited by , Antarctic adventure tourists
sites , been periodically visited by , Antarctic adventure tourists
several other sites , associated with , their journey
other sites , been visited by , adventure tourists
sites , been periodically visited by , adventure tourists
other sites , been periodically visited by , adventure tourists
several other sites , been , periodically visited
several other sites , are , well-known
several sites , been periodically visited by , Antarctic adventure tourists
other sites , been , visited
final resting place , is , now inaccessible
several other sites , been visited by , adventure tourists
place , is , now inaccessible
sites , been visited by , Antarctic adventure tourists
several sites , been visited by , adventure tourists
other sites , been , periodically visited
other sites , been periodically visited by , Antarctic adventure tourists
final place , is , now inaccessible
several sites , are , well-known
several sites , been visited by , Antarctic adventure tourists
sites , are , well-known
several sites , been , visited
several sites , been , periodically visited
other sites , are , well-known
several other sites , been , visited
several other sites , been periodically visited by , adventure tourists
sites , been , periodically visited
resting place , is , now inaccessible
resting place , is , inaccessible
final resting place , is , inaccessible
other sites , associated with , their journey
sites , been , visited
Scott 's base camp , has , has site
Scott 's base camp , has , has site of constant interest
Scott , has , base camp at Cape Evans
Scott 's base camp , has , has site of interest
has site , is In , particular
Scott 's base camp , has , In particular has site of constant interest
Scott 's base camp , has , In particular has site of interest
Scott 's base camp , has , In particular has site
main Antarctic Treaty , came into , force
Antarctic Treaty System , under Area is , ASPA
Antarctic Treaty , came into , force
international Antarctic Treaty , came into , force
force , is in , 1961
main international Antarctic Treaty , came into , force
ASPA sites , are protected against , development
ASPA sites , are , protected
New Zealand , of , Antarctic Policy Unit
Cape Evans campsite , is managed by , non-profit organization devoted to sites
Cape Evans campsite , is , managed
Cape Evans campsite , is managed by , Antarctic Heritage Trust
Cape Evans campsite , is managed by , organization devoted to conserving sites of exploration to Antarctica 's Ross Sea Region
Cape Evans campsite , is managed by , organization devoted to sites of historic exploration to Antarctica 's Ross Sea Region
Cape Evans campsite , is managed by , non-profit organization devoted to conserving sites
Cape Evans campsite , is managed by , non-profit organization devoted to sites of historic exploration
Cape Evans campsite , is managed by , organization devoted to conserving sites of exploration
Cape Evans campsite , is managed by , organization devoted to sites of exploration
Cape Evans campsite , is managed by , non-profit organization devoted
Cape Evans campsite , is managed by , organization devoted to sites
Cape Evans campsite , is managed by , organization devoted to sites of historic exploration
Cape Evans campsite , is managed by , non-profit organization devoted to conserving sites of historic exploration to Antarctica 's Ross Sea Region
Cape Evans campsite , is managed by , organization
Cape Evans campsite , is managed by , non-profit organization devoted to sites of exploration
Cape Evans campsite , is managed by , non-profit organization devoted to sites of exploration to Antarctica 's Ross Sea Region
