audit , Researching , traffic in looted objects
audit , Researching , traffic in objects
global traffic , is in , looted objects
audit , Researching traffic In , July 2006
audit , Researching , global traffic
audit , Researching , traffic
audit , Researching , global traffic in looted objects
audit , Researching , global traffic in objects
State Hermitage Museum , is in , St Petersburg
State Hermitage Museum , was founded by , Empress Catherine
St Petersburg , city in , Russian Federation
Great , is in , 1764
federal city , is in , Russian Federation
State Hermitage Museum , was , founded
1764 , in Great is , BBC News 2006a
State Hermitage Museum , was founded by , Russian Empress Catherine
it , occupies , number of landmark buildings in St Petersburg
it , occupies , number of landmark buildings
it , occupies , number in St Petersburg
three million objects , is in , its collection
occupies , number in , St Petersburg
it , occupies , number in central St Petersburg including Winter Palace
it , occupies , number of landmark buildings including Winter Palace
occupies , number of , landmark buildings
largest museums , is in , world
number , is in , central St Petersburg
occupies , number including , Winter Palace
it , occupies , number in central St Petersburg
occupies , number in , central St Petersburg
it , occupies , number including Winter Palace
it , occupies , number of landmark buildings in central St Petersburg including Winter Palace
it , occupies , number in St Petersburg including Winter Palace
it , occupies , number of landmark buildings in St Petersburg including Winter Palace
it , occupies , number of landmark buildings in central St Petersburg
it , occupies , number
Collections held , are of , significance
Collections held , are of , national significance
Collections , held at , museum
Collections held , include , examples
Collections held , include , examples of paintings
Russian Federation , emerged with , state
Russian Federation , emerged In , wake in early 1990s
Russian Federation , emerged with , weak state
Russian Federation , emerged In , wake of dissolution
Russian Federation , emerged In , wake of dissolution in early 1990s
Russian Federation , emerged In , wake
wake , is in , early 1990s
Russian Federation , emerged In , wake of dissolution of Soviet Union in early 1990s
Russian Federation , emerged In , wake of dissolution of Soviet Union
instability , led , Colonel Vladimir Mefty
CID , of Chief is , Russian Federation
Second International Art , is in , London
security , is in , churches
security , of lack is , Ward 1992
Concerns , were , raised
Concerns , were raised by , discovery of robberies
Concerns , were raised by , discovery of robberies described
Concerns , were raised by , discovery of robberies described below
Concerns , were raised by , discovery
objects , were covered with , those
it , was , noted
objects , were , covered
it , was noted In , particular
objects , were covered by , insurance
objects , were , covered by insurance with those
concerns , aired at , time
concerns , discussed at , end
concerns , aired at , time
story , been , inaccurate
official story , been , inaccurate
Hermitage , at Discovery is , Larisa Zavadskaya
Discovery , died at , her desk
Discovery , died at , Kramer 2006
her , desk , Kramer 2006
Hermitage , is in , 2005
inventory audit , During Discovery is , Larisa Zavadskaya
thefts , of Discovery is , Larisa Zavadskaya
Zavadskaya , sufferer of , diabetes
It , was , believed
it , had become , clear
it , had become By , summer
it , had become By , summer of 2006
stolen items , included , icons
items , included , icons
