following , is , one particularly documented incidence of trafficking from Sipan
following , is , one particularly well documented incidence of trafficking of artefacts from Sipan
following , is , one documented incidence of trafficking
following , is , one particularly documented incidence of trafficking of artefacts
following , is , one incidence
following , is , one particularly well documented incidence of trafficking
following , is , one particularly well documented incidence of trafficking of artefacts
following , is , one documented incidence
following , is , one incidence of trafficking
following , is , one incidence of trafficking from Sipan
following , is , one well documented incidence of trafficking from Sipan
following , is , one documented incidence of trafficking from Sipan
following , is , one particularly well documented incidence
global traffic , is in , looted objects
following , is , one particularly well documented incidence of trafficking from Sipan
following , is , one well documented incidence
following , is , one well documented incidence of trafficking of artefacts
following , is , one incidence of trafficking of artefacts from Sipan
following , is , one particularly documented incidence of trafficking of artefacts from Sipan
following , is , one particularly documented incidence
following , is , one documented incidence of trafficking of artefacts
following , is , one well documented incidence of trafficking of artefacts from Sipan
following , is , one particularly documented incidence of trafficking
following , is , one documented incidence of trafficking of artefacts from Sipan
following , is , one incidence of trafficking of artefacts
following , is , one well documented incidence of trafficking
Moche site , was , looted
Sipán , is in , Peru
Moche site , was looted In , 1987
intermediaries , is in , Trujillo
Poli , claims , have met
Poli , claims , have met with former policeman
Poli , met with , former policeman
Pereda , informed , Poli
looters , were hiding , objects
Pereda , at , house
they , were , purchased
Pereda , to , home
they , were purchased by , Drew
it , has , Over next few days has alleged
it , has , Over days has alleged
they , were , where purchased by Drew
it , has , Over next days has alleged
Bernal brothers , brought , various Sipán objects
Bernal brothers , brought , Sipán objects
it , has , Over few days has alleged
they , were , where purchased
Fred Drew , was retired American diplomat , who had been functioning as buyer
Fred Drew , was American diplomat , who had been functioning as buyer
Fred Drew , was retired American diplomat , who had been functioning for about 20 years before Sipán looting
Fred Drew , was diplomat , who had been functioning as buyer before Sipán looting
Fred Drew , was American diplomat , who had been functioning for about 20 years before Sipán looting
Fred Drew , was retired diplomat , who had been functioning as buyer before Sipán looting
Fred Drew , was retired American diplomat , who had been functioning for about 20 years
Drew , was , retired
Fred Drew , was retired diplomat , who had been functioning before Sipán looting
Fred Drew , was retired American diplomat , who had been functioning as buyer for about 20 years
Fred Drew , was American diplomat , who had been functioning as buyer for about 20 years
Fred Drew , was diplomat , who had been functioning
Fred Drew , was American diplomat , who had been functioning before Sipán looting
Drew , was , American
Fred Drew , was retired diplomat , who had been functioning as buyer for about 20 years before Sipán looting
Fred Drew , was American diplomat , who had been functioning as buyer before Sipán looting
Fred Drew , was American diplomat , who had been functioning for about 20 years
Fred Drew , was American diplomat , who had been functioning as buyer for about 20 years before Sipán looting
Fred Drew , was diplomat , who had been functioning for about 20 years
Fred Drew , was diplomat , who had been functioning for about 20 years before Sipán looting
Fred Drew , was retired American diplomat , who had been functioning as buyer before Sipán looting
Fred Drew , was diplomat , who had been functioning as buyer for about 20 years
Fred Drew , was retired diplomat , who had been functioning for about 20 years before Sipán looting
Fred Drew , was retired diplomat , who had been functioning
Fred Drew , was diplomat , who had been functioning before Sipán looting
Fred Drew , was retired American diplomat , who had been functioning as buyer for about 20 years before Sipán looting
Fred Drew , was American diplomat , who had been functioning
Fred Drew , was retired diplomat , who had been functioning for about 20 years
Fred Drew , was retired diplomat , who had been functioning as buyer
Fred Drew , was retired diplomat , who had been functioning as buyer for about 20 years
Fred Drew , was diplomat , who had been functioning as buyer for about 20 years before Sipán looting
Fred Drew , was diplomat , who had been functioning as buyer
Fred Drew , was retired American diplomat , who had been functioning
Fred Drew , was retired American diplomat , who had been functioning before Sipán looting
Drew , purchased , large portions
Drew , purchased , large portions of Sipán collection
Drew , purchased portions with , money provided
Drew , purchased portions with , money
Drew , purchased , portions of Sipán collection
Drew , purchased portions with , money provided by US antiquities dealer named
Drew , purchased , portions
Drew , purchased portions with , money provided by US antiquities dealer
Swetnam , devised , way
Drew , focusing on , procurement of Sipán objects
Swetnam , devised , way for pieces
Drew , focusing on , procurement
Drew , had worked together of , member of smuggling operation
Drew , had worked together According to , testimony
Drew , had worked According to , testimony
Michael Kelly , member of , smuggling operation
Drew , had worked together of , Michael Kelly
Drew , had worked of , Michael Kelly
Drew , had worked of , member
Drew , smuggle antiquities out of , Peru
Drew , worked together , Swetnam
Drew , smuggle , antiquities
Drew , smuggle , Swetnam
Drew , had worked of , member of smuggling operation
Drew , smuggle antiquities in , past
Drew , worked , Swetnam
Drew , had worked together of , member
agents , carry antiquities on , direct flights
agents , carry , smaller antiquities
Drew , bribing , Peruvian customs officers
agents , carry antiquities on , flights from Lima
Drew , have , Swetnam
Drew , sometimes bribing , Swetnam
Drew , bribing customs officers in , Atwood 2004
Drew , bribing , customs officers
agents , carry antiquities on , direct flights from Lima
Drew , sometimes bribing customs officers in , Atwood 2004
agents , carry antiquities to , US
agents , carry antiquities on , flights
Drew , sometimes bribing , customs officers
agents , carry , antiquities
Drew , bribing , Swetnam
Drew , sometimes bribing , Peruvian customs officers
Drew , sometimes bribing customs officers in , process
Drew , normally have , Swetnam
Drew , bribing customs officers in , process
mud , cover , antiquities
mud , were used For , shipments
them , look like , souvenir items
Hecho en Bolivia , was stamped on , bottom
mud , were , used
mud , cover antiquities in , attempt
Hecho en Bolivia , was , stamped
mud , cover , latex
mud , were used For , larger shipments
mud , cover , genuine antiquities
mud , cover antiquities in , attempt make
disguised antiquities , carried into , United States
antiquities , carried into , United States
collection , was , intercepted
collection , was intercepted in , 1985
collection , authenticated by , Canadian authorities
collection , authenticated by , authorities
Bolivia , was , viable
Drew , eventually settled , Swetnam
Drew , settled , Swetnam
over Miguel de Osma Berckemeyer , nephew of , former Peruvian ambassador to United States
he , purchased over , nephew of former Peruvian ambassador to United States
he , purchased over , nephew of former Peruvian ambassador
he , purchased over , over Miguel de Osma Berckemeyer
he , purchased over , nephew of former ambassador to United States
he , purchased over , nephew of former ambassador
he , purchased over , nephew
Drew , handed , Sipán objects
objects , headed to , London
Berckemeyer , used , family cartel connections
Swetnam , removed in , Once United Kingdom
Sipán material , was in , Once United Kingdom
Sipán material , was in , United Kingdom
Swetnam , replaced , them
Swetnam , removed in , United Kingdom
raincoat , belonging to , father man
raincoat , belonging to , father
He , packed objects in , footlocker
He , packed , objects
