Researching , traffic in , looted objects
site , is in , northern Estonia
cultural objects , is in , Estonia
global traffic , is in , looted objects
Researching , global traffic in , objects
Researching , global traffic in , looted objects
Discovery , is in , German auction house
Researching , traffic in , objects
amateur archaeologist , made discovery in , recently-ploughed field
archaeologist , made discovery in , field in Salu village
amateur archaeologist , made , discovery of several artefacts
archaeologist , made , discovery of several artefacts
amateur archaeologist , discovery of , several artefacts
archaeologist , discovery of , several artefacts
amateur archaeologist , made discovery in , field
archaeologist , made discovery in , recently-ploughed field
amateur archaeologist , made discovery in , recently-ploughed field in Salu village
archaeologist , made discovery in , field
University , were informed On , 26 April 2005
amateur archaeologist , made , discovery of artefacts
archaeologist , made , discovery of artefacts
amateur archaeologist , discovery of , artefacts
University , were , informed
recently-ploughed field , is in , village
archaeologist , discovery of , artefacts
amateur archaeologist , made , discovery
amateur archaeologist , made discovery in , field in Salu village
archaeologist , made , discovery
archaeologist , made discovery in , recently-ploughed field in Salu village
potsherds , were Among , objects
potsherds , were Among , objects found
potsherds , were , pieces
potsherds , were , pieces of sheet silver
it , involving , archaeologists from National Heritage Board
rescue , excavation at , site
it , was decided After , initial investigation
involving , archaeologists from , National Heritage Board
it , was , decided
Tallinn , of University is , Tamla
it , involving , archaeologists
rescue , excavation at , Mäesalu
it , was decided After , investigation
excavation , uncovered , evidence
material , appear , typical of Byzantine culture
coins , were discovered from , mints
material , appear , typical of culture
material , appear , typical
coins , were discovered from , mints in Germany
mints , is in , Germany
coins , were , discovered
hoard , was deposited around , start of 12th century AD
hoard , was deposited around , start of century AD
latest dates , led , archaeologists
latest dates , recovered from , site
dates , led , archaeologists
hoard , was , deposited
dates , recovered from , site
hoard , was deposited around , start
site , holes in , marked excavation plot
illegal archaeologists , robbed , digging deep holes
archaeologists , robbed , digging deep holes in excavation plot
illegal archaeologists , robbed site After , only day of rescue excavation
illegal archaeologists , robbed , site
holes , is in , marked excavation plot
archaeologists , robbed site After , only first day of rescue excavation
archaeologists , robbed , digging deep holes
illegal archaeologists , robbed site After , only day
archaeologists , robbed site After , only day
illegal archaeologists , robbed , digging holes in marked excavation plot
archaeologists , robbed , digging holes in marked excavation plot
archaeologists , robbed , digging holes in excavation plot
illegal archaeologists , robbed site After , day
archaeologists , robbed site After , only first day
illegal archaeologists , robbed , digging holes
illegal archaeologists , robbed , digging deep holes in marked excavation plot
archaeologists , robbed , site
archaeologists , robbed site After , first day of rescue excavation
archaeologists , robbed site After , first day
illegal archaeologists , robbed , digging holes in excavation plot
archaeologists , robbed , digging deep holes in marked excavation plot
illegal archaeologists , robbed site After , day of rescue excavation
archaeologists , robbed , digging holes
illegal archaeologists , robbed , digging deep holes in excavation plot
archaeologists , robbed site After , day
illegal archaeologists , robbed site After , only first day of rescue excavation
illegal archaeologists , robbed site After , only first day
illegal archaeologists , robbed site After , first day
illegal archaeologists , robbed site After , first day of rescue excavation
archaeologists , robbed site After , only day of rescue excavation
archaeologists , robbed site After , day of rescue excavation
footprints , were found across , site
footprints , were , found
Nobody , was , caught
Nobody , was caught in , act
Nobody , was caught in , act of looting
it , was , when spotted by archaeologists
it , was , spotted
car , was seen During , excavation period
it , was , when spotted
car , was , seen
it , was spotted by , archaeologists
car , has , registration number
They , were however , able
car , 's number is , Postimees 2008
They , were , able
it , was , decided
it , enlist help along with , archaeologists from excavation team
it , enlist help along with , male archaeologists
it , was , For rest decided over site
it , enlist , help of Estonian Defence League
it , was decided over , site
it , was decided For , rest
it , was , For rest of excavation period decided over site
it , enlist help along with , archaeologists
it , enlist , help
site , protect it from , further plunder
it , enlist help along with , male archaeologists from excavation team
it , was decided For , rest of excavation period
it , keep , watch
site , protect it from , plunder
Estonian Defence League , division of , Defence Forces
site , protect , it
hoard , consisted of , 283 coins
hoard , recorded by , archaeologists
100 coins , were believed , have robbed from site
100 coins , were believed , have robbed
100 coins , been robbed from , Tamla 2005
100 coins , been robbed from , site
100 coins , were , believed
coins , been , robbed
coins , been robbed from , site
coins , were believed In addition to , this
100 coins , been , robbed
100 coins , were believed In addition to , this
coins , were , believed
coins , were believed , have robbed from site
coins , been robbed from , Tamla 2005
coins , were believed , have robbed
sale , is in , auction house
auction house , is in , German city of Dortmund
Investigation , led to , identification of Walter Augsburger as vendor
Investigation , led to , identification
Investigation , led to , identification as vendor
Investigation , led to , identification of Walter Augsburger
he , selling coins on behalf of , Maido Kättmann in south western Estonia
he , selling coins on behalf of , Maido Kättmann
Augsburger , later informed , German police
Augsburger , informed , German police
he , selling coins on behalf of , Postimees 2008
south western Estonia , in Kättmann is , Estonian from Pärnu
he , selling coins on behalf of , Maido Kättmann in south Estonia
he , selling , coins
Maido Kättmann , is in , south western Estonia
Augsburger , informed , police
he , selling coins on behalf of , Estonian from Pärnu
he , selling coins on behalf of , Maido Kättmann in western Estonia
Maido Kättmann , Estonian from , Pärnu
Augsburger , later informed , police
he , selling coins on behalf of , Maido Kättmann in Estonia
south western Estonia , in Kättmann is , Postimees 2008
he , selling coins on behalf of , Estonian
Kättmann , was brought Following , return of coins from German coin auction
Kättmann , was brought for , metal
Kättmann , was , Following return of coins brought to court for metal
Kättmann , was brought Following , return
Kättmann , was brought Following , return from coin auction
Kättmann , was , Following return from coin auction brought to court
Kättmann , was , brought
Kättmann , was , Following return of coins from coin auction brought for metal
Kättmann , was , Following return of coins brought for metal
Kättmann , was , Following return of coins from coin auction brought to court for metal
Kättmann , was brought to , court
Kättmann , was brought Following , return of coins from coin auction
Kättmann , was , Following return from German coin auction brought for metal
Kättmann , was , brought to court for metal
Kättmann , was brought Following , return from German coin auction
Kättmann , pieces of , jewellery
Kättmann , was , Following return brought for metal
Kättmann , was , Following return from coin auction brought to court for metal
Kättmann , was , Following return brought to court for metal
Kättmann , was , Following return of coins from coin auction brought to court
Kättmann , was , Following return of coins from German coin auction brought for metal
Kättmann , was , Following return from German coin auction brought to court for metal
Kättmann , was brought Following , return of coins
Kättmann , was , Following return of coins from German coin auction brought to court
Kättmann , was , Following return of coins brought to court
Kättmann , was , Following return of coins from German coin auction brought to court for metal
Kättmann , was , Following return from coin auction brought for metal
Kättmann , was , Following return brought to court
Kättmann , was , Following return from German coin auction brought to court
his , conviction , Postimees 2009
He , was in , Circuit Court
Circuit Court , is in , 2008
He , was in , Circuit Court in 2008
he , was sentenced to , three years ' imprisonment
he , was , sentenced
he , was sentenced In , Supreme Court in Spring 2010
he , was , In Supreme Court sentenced to three years ' imprisonment
he , was , In Supreme Court in Spring 2010 sentenced to three years ' imprisonment
he , was sentenced In , Supreme Court
Supreme Court , is in , Spring 2010
Penal Code , of Art is , 1
he Court , found person According to , Ulst
he Court , found person According to , Ulst 2010
he Court , found , person guilty
he Court , found , accused person guilty
he Court , found , person
he Court , found , accused person
Estonian archaeologists , praised , collaboration
archaeologists , praised , collaboration of police
Estonian archaeologists , praised , collaboration of police
archaeologists , praised , prompt collaboration of police in Germany
Estonian archaeologists , praised , collaboration in Germany
prompt collaboration , is in , Germany
Estonian archaeologists , praised , prompt collaboration of police
archaeologists , praised , collaboration of police in Germany
Estonian archaeologists , praised , prompt collaboration
archaeologists , praised , prompt collaboration in Germany
archaeologists , praised , prompt collaboration
archaeologists , praised , prompt collaboration of police
archaeologists , praised , collaboration
Estonian archaeologists , praised , collaboration of police in Germany
Estonian archaeologists , praised , prompt collaboration in Germany
archaeologists , praised , collaboration in Germany
Estonian archaeologists , praised , prompt collaboration of police in Germany
coins , are , stored at Institute of History in Tallinn
coins , stored , artefacts
coins , are stored at , Institute of History
coins , stored , other artefacts retrieved from rescue
police intervention , is in , Dortmund
coins , stored , other artefacts
coins , are stored in , Tamla 2005
coins , stored , artefacts retrieved
coins , are , stored at Institute in Tallinn
coins , stored , jewellery fragments
coins , stored , artefacts retrieved from rescue
coins , are stored at , Institute
coins , are , stored
coins , stored , other artefacts retrieved
coins , are stored in , Tallinn
certain sites , are , vulnerable
archaeological sites , are , vulnerable
sites , are vulnerable to , illegal metal
certain sites , are vulnerable to , illegal metal
it , has , has acknowledged
sites , are , vulnerable
certain sites , are vulnerable to , metal
archaeological sites , are vulnerable to , metal detecting
sites , are vulnerable to , illegal metal detecting
certain archaeological sites , are vulnerable to , metal detecting
certain archaeological sites , are vulnerable to , illegal metal detecting
certain sites , are vulnerable to , metal detecting
certain archaeological sites , are vulnerable to , illegal metal
archaeological sites , are vulnerable to , illegal metal detecting
illicit trade , is in , metal-detected objects
sites , are vulnerable to , metal detecting
sites , are vulnerable to , metal
certain sites , are vulnerable to , illegal metal detecting
certain archaeological sites , are vulnerable to , metal
archaeological sites , are vulnerable to , metal
archaeological sites , are vulnerable to , illegal metal
certain archaeological sites , are , vulnerable
Similar , have , problem with people searching for material
Similar , have , problem with people searching for material from Second World War including looting of war
Similar , have , problem with people
Similar , have , problem with people searching for material from World War
Similar , is , considered
its , Latvia , Estonia
Similar , have , problem
Similar , have , problem with people searching for material from World War including looting
problem , is with , people searching for material from Second World War including looting of war
Similar , have , problem with people searching for material from Second World War including looting
Similar , have , problem with people searching for material from World War including looting of war
Similar , have , problem with people searching for material from Second World War
Similar , have , problem with people searching
many cases , is in , recent years
Ubina , is , Of these case at time writing
Ubina , is only case at , time writing
criminal proceedings , been , in which successfully brought
proceedings , been , successfully brought
Ubina , is case Of , these
Ubina , is , case
Ubina , is , Of these only case at time writing
Ubina , is only case Of , these
Ubina , is , Of these only case at time
Ubina , is case at , time
criminal proceedings , been , in which brought
proceedings , been , in which brought
Ubina , is , Of these case at time
criminal proceedings , been , brought
Ubina , is case at , time writing
proceedings , been , in which successfully brought
Ubina , is only case at , time
criminal proceedings , been , successfully brought
Ubina , is , only case
proceedings , been , brought
new provisions , were , In 2011 brought into force for regulation detecting on archaeological sites including introduction of license for users
new provisions , were , In 2011 brought into force for regulation detecting on archaeological sites
new provisions , were , In 2011 brought into force for regulation of metal detecting
provisions , were , In 2011 brought into force for regulation detecting on unprotected archaeological sites including introduction of compulsory license for metal-detector users
new provisions , were brought into , force in Estonia for regulation of metal detecting on unprotected sites including introduction of license
provisions , were brought into , force for regulation detecting on unprotected sites
