thousand historic Korean books , is in , looted objects
Korea , of , Joseon
Uigwe , comprise , collection
They , were , produced
They , were produced from , 1600s
They , were produced until , UNESCO 2006
Uigwe , can , can translated
Uigwe , can , can translated in number of ways
Uigwe , can , can translated in number
described , is , accompanied by extensive illustrations of proper procedure for royal event from receiving
described , is , accompanied by illustrations of procedure for royal event from receiving of foreign missions to rites associated
described , is , accompanied by extensive illustrations of proper procedure for royal event from receiving to rites
described , is , accompanied by illustrations of proper procedure for royal event from receiving of missions to rites associated with wedding
described , is accompanied from , receiving of foreign missions
described , is , accompanied
described , is , accompanied by illustrations of proper procedure for royal event from receiving of foreign missions
described , is , accompanied by illustrations of procedure for royal event from receiving of foreign missions to rites
described , is , accompanied by extensive illustrations of proper procedure for royal event from receiving of missions
described , is , accompanied by extensive illustrations of proper procedure for royal event from receiving of foreign missions to rites
described , is accompanied from , receiving of missions to rites associated
described , is accompanied from , receiving of missions to rites
described , is , accompanied by extensive illustrations from receiving of missions to rites associated
described , is , accompanied by extensive illustrations from receiving to rites associated with wedding
described , is , accompanied by extensive illustrations of proper procedure for royal event from receiving of missions to rites associated with wedding
described , is , accompanied by extensive illustrations from receiving of missions to rites associated with wedding
described , is accompanied from , receiving of foreign missions to rites associated with wedding
described , is , accompanied by extensive illustrations of proper procedure for royal event from receiving of missions to rites associated
described , is , accompanied by illustrations of procedure for royal event from receiving to rites associated
described , is , accompanied by extensive illustrations from receiving of missions
described , is , accompanied by extensive illustrations of procedure for royal event from receiving of foreign missions
described , is , accompanied by illustrations from receiving to rites associated with wedding
described , is , accompanied by extensive illustrations of proper procedure for royal event from receiving of foreign missions to rites associated with wedding
described , is , accompanied by illustrations from receiving to rites associated
described , is , accompanied by illustrations from receiving to rites
described , is accompanied from , receiving to rites
described , is , accompanied by illustrations from receiving of foreign missions to rites associated with wedding
described , is accompanied by , illustrations of procedure for royal event
described , is , accompanied by illustrations of procedure for royal event from receiving of foreign missions
described , is , accompanied by extensive illustrations of proper procedure for royal event from receiving of missions to rites
described , is , accompanied by extensive illustrations of procedure for royal event from receiving of foreign missions to rites associated
described , is accompanied by , extensive illustrations of procedure for royal event
described , is , accompanied by illustrations from receiving of missions to rites associated
described , is , accompanied by illustrations of proper procedure for royal event from receiving of foreign missions to rites
described , is , accompanied by illustrations of proper procedure for royal event from receiving of missions
described , is , accompanied by illustrations of proper procedure for royal event from receiving of missions to rites associated
rituals , are described in , prose
described , is , accompanied by extensive illustrations of proper procedure for royal event from receiving of foreign missions to rites associated
described , is accompanied from , receiving of missions to rites associated with wedding
described , is , accompanied by illustrations from receiving of missions to rites associated with wedding
described , is , accompanied by illustrations from receiving of missions to rites
described , is , accompanied by extensive illustrations from receiving of foreign missions to rites associated with wedding
described , is , accompanied by extensive illustrations of procedure for royal event from receiving
described , is , accompanied by illustrations of proper procedure for royal event from receiving of foreign missions to rites associated
described , is , accompanied by illustrations from receiving of foreign missions to rites associated
described , is , accompanied by illustrations of procedure for royal event from receiving of missions to rites associated with wedding
described , is accompanied from , receiving of foreign missions to rites associated
described , is , accompanied by extensive illustrations from receiving of foreign missions to rites
described , is , accompanied by illustrations of proper procedure for royal event from receiving of missions to rites
described , is , accompanied by illustrations of proper procedure for royal event from receiving to rites associated with wedding
described , is , accompanied by extensive illustrations from receiving of missions to rites
described , is , accompanied by illustrations from receiving of missions
described , is , accompanied by illustrations of proper procedure for royal event from receiving to rites
described , is , accompanied by illustrations of procedure for royal event from receiving of missions
described , is accompanied by , extensive illustrations of proper procedure for royal event
described , is , accompanied by illustrations of procedure for royal event from receiving of missions to rites associated
described , is accompanied from , receiving to rites associated
described , is , accompanied by extensive illustrations of procedure for royal event from receiving of missions
described , is , accompanied by extensive illustrations of procedure for royal event from receiving of missions to rites
described , is accompanied by , illustrations
described , is , accompanied by extensive illustrations from receiving
described , is , accompanied by extensive illustrations of procedure for royal event from receiving to rites
described , is , accompanied by extensive illustrations of procedure for royal event from receiving to rites associated
described , is accompanied by , extensive illustrations
described , is , accompanied by illustrations of proper procedure for royal event from receiving to rites associated
described , is , accompanied by illustrations from receiving
described , is , accompanied by extensive illustrations of procedure for royal event from receiving of missions to rites associated
described , is , accompanied by extensive illustrations of procedure for royal event from receiving of foreign missions to rites associated with wedding
described , is , accompanied by extensive illustrations from receiving to rites associated
described , is , accompanied by extensive illustrations from receiving to rites
described , is accompanied from , receiving of foreign missions to rites
described , is accompanied from , receiving
described , is , accompanied by extensive illustrations of procedure for royal event from receiving of missions to rites associated with wedding
described , is , accompanied by illustrations from receiving of foreign missions
described , is , accompanied by extensive illustrations from receiving of foreign missions
described , is , accompanied by illustrations of procedure for royal event from receiving
described , is , accompanied by illustrations of procedure for royal event from receiving of missions to rites
described , is , accompanied by extensive illustrations of proper procedure for royal event from receiving to rites associated with wedding
described , is , accompanied by extensive illustrations of procedure for royal event from receiving to rites associated with wedding
described , is , accompanied by illustrations of proper procedure for royal event from receiving
described , is , accompanied by illustrations from receiving of foreign missions to rites
described , is , accompanied by illustrations of procedure for royal event from receiving to rites associated with wedding
described , is , accompanied by illustrations of proper procedure for royal event from receiving of foreign missions to rites associated with wedding
described , is accompanied by , illustrations of proper procedure for royal event
described , is , accompanied by extensive illustrations of proper procedure for royal event from receiving to rites associated
described , is , accompanied by illustrations of procedure for royal event from receiving of foreign missions to rites associated with wedding
described , is , accompanied by extensive illustrations of procedure for royal event from receiving of foreign missions to rites
described , is , accompanied by extensive illustrations of proper procedure for royal event from receiving of foreign missions
described , is accompanied from , receiving of missions
described , is accompanied from , receiving to rites associated with wedding
described , is , accompanied by illustrations of procedure for royal event from receiving to rites
described , is , accompanied by extensive illustrations from receiving of foreign missions to rites associated
rituals , are , described
Uigwe , Furthermore include , details of various activities including construction techniques
Uigwe , Furthermore include , details of cultural activities including construction techniques
Uigwe , Furthermore include , details of cultural activities including construction techniques for royal buildings
Uigwe , Furthermore include , details of cultural activities
Uigwe , Furthermore include , details
Uigwe , include , details of other activities
Uigwe , Furthermore include , details of other cultural activities
Uigwe , Furthermore include , details of other activities including construction techniques for buildings
Uigwe , include , details of activities
Uigwe , include , details of other cultural activities including construction techniques for buildings
Uigwe , include , details of various cultural activities including construction techniques
Uigwe , Furthermore include , details of various other activities including construction techniques
Uigwe , include , details of various activities including construction techniques for buildings
Uigwe , include , details of various other cultural activities
Uigwe , Furthermore include , details of cultural activities including construction techniques for buildings
Uigwe , Furthermore include , details of other cultural activities including construction techniques
Uigwe , include , details of various activities
Uigwe , Furthermore include , details of other activities
Uigwe , include , details of activities including construction techniques for buildings
Uigwe , Furthermore include , details of various cultural activities including construction techniques for royal buildings
Uigwe , include , details of various activities including construction techniques for royal buildings
Uigwe , Furthermore include , details of various cultural activities
Uigwe , include , details of various cultural activities including construction techniques for royal buildings
Uigwe , include , details of various other cultural activities including construction techniques for royal buildings
Uigwe , Furthermore include , details of activities
Uigwe , include , details including construction techniques for royal buildings
Uigwe , Furthermore include , details of other cultural activities including construction techniques for buildings
Uigwe , include , details of cultural activities including construction techniques for royal buildings
Uigwe , Furthermore include , details of activities including construction techniques for buildings
Uigwe , Furthermore include , details of various other activities including construction techniques for buildings
Uigwe , Furthermore include , details of other activities including construction techniques
Uigwe , Furthermore include , details of various other cultural activities
Uigwe , include , details of other activities including construction techniques for royal buildings
Uigwe , include , details of various other cultural activities including construction techniques for buildings
Uigwe , Furthermore include , details of various activities
Uigwe , Furthermore include , details of various other cultural activities including construction techniques for buildings
Uigwe , include , details including construction techniques
Uigwe , include , details of cultural activities including construction techniques for buildings
Uigwe , Furthermore include , details of activities including construction techniques
Uigwe , include , details of various other activities
Uigwe , include , details of various other cultural activities including construction techniques
Uigwe , Furthermore include , details of various other cultural activities including construction techniques for royal buildings
Uigwe , Furthermore include , details of various activities including construction techniques for buildings
Uigwe , Furthermore include , details including construction techniques for buildings
Uigwe , include , details of various cultural activities including construction techniques for buildings
Uigwe , include , details of other activities including construction techniques
Uigwe , Furthermore include , details of various activities including construction techniques for royal buildings
Uigwe , include , details of various cultural activities
Uigwe , include , details of activities including construction techniques for royal buildings
Uigwe , include , details of other cultural activities
Uigwe , include , details of activities including construction techniques
Uigwe , Furthermore include , details including construction techniques for royal buildings
Uigwe , include , details of various other activities including construction techniques for buildings
Uigwe , include , details of cultural activities including construction techniques
Uigwe , include , details of various activities including construction techniques
Uigwe , Furthermore include , details of various other activities
Uigwe , include , details of other cultural activities including construction techniques for royal buildings
Uigwe , Furthermore include , details of various cultural activities including construction techniques
Uigwe , Furthermore include , details including construction techniques
Uigwe , Furthermore include , details of various other cultural activities including construction techniques
Uigwe , include , details of various other activities including construction techniques for royal buildings
Uigwe , Furthermore include , details of various other activities including construction techniques for royal buildings
Uigwe , include , details of other activities including construction techniques for buildings
Uigwe , include , details including construction techniques for buildings
Uigwe , include , details of cultural activities
Uigwe , Furthermore include , details of other activities including construction techniques for royal buildings
Uigwe , include , details
Uigwe , Furthermore include , details of activities including construction techniques for royal buildings
Uigwe , Furthermore include , details of other cultural activities including construction techniques for royal buildings
Uigwe , Furthermore include , details of various cultural activities including construction techniques for buildings
Uigwe , include , details of various other activities including construction techniques
Uigwe , include , details of other cultural activities including construction techniques
ceremonial details , is with , clarity
illustrations , are , rendered
Joseon Korea , of , aristocracy
Joseon Korea , 's aristocracy is , Lee 2011b
Uigwe , provide , a
copies , would , would made
Uigwe , were , written
single Uigwe , could , could comprised
copies , would , of which would made
Most Uigwe , drawn by , hand
multiple copies , would , of which would made
multiple copies , would , would made
Most Uigwe , were , written
Uigwe , drawn by , hand
century volumes , were , created
Uigwe , could , could comprised
18th century volumes , were , created
viewing copy , would , would retained
viewing copy , would , would retained for king
superior viewing copy , would , would retained for king
superior viewing copy , would , would retained
These , would include , copy
Outer Gyujanggak Library , was built in , 1782 on Ganghwa-do Island
Changdeokgung Palace , is in , Seoul
Outer Gyujanggak Library , was , built
Ganghwa-do Island , was , attacked
Ganghwa-do Island , was attacked During , 1866 French campaign against Korea
Ganghwa-do Island , was attacked During , 1866 French campaign
French forces , number of , royal books
French naval forces , number of , royal books
French forces , number of , other royal books
naval forces , number of , other books
French forces , number of , other books
forces , number of , royal books
forces , number of , other books
French naval forces , number of , other books
naval forces , number of , other royal books
French forces , number of , books
forces , number of , books
forces , number of , other royal books
naval forces , number of , books
French naval forces , number of , books
naval forces , number of , royal books
French naval forces , number of , other royal books
Uigwe , were brought to , Bibliothèque nationale de France
Uigwe , were , then brought to Bibliothèque nationale de France
Uigwe , were , then brought
Uigwe , were , brought
scholar , working as , librarian
scholar , re-discovered Uigwe In , 1975
scholar , re-discovered , Uigwe
librarian , is in , Bibliothèque nationale
scholar , working as , librarian in Bibliothèque nationale
exact whereabouts , seized in , 1866
whereabouts , seized in , 1866
whereabouts seized , had , had unknown
exact whereabouts seized , had , had unknown
Uigwe , had , had mistakenly classified
they , had , had housed in Bibliothèque nationale
Uigwe , had , had classified
they , had , had housed
they , entering , France
embassy , is in , France
embassy , formally requested , return
embassy , formally requested return In , July 1992
embassy , formally requested , return of Uigwe
embassy , requested return In , July 1992
embassy , requested , return
embassy , requested , return of Uigwe
French President François Mitterrand , returned , one Uigwe volume
French President François Mitterrand , promised , return of rest
1993 French President François Mitterrand , promised , return
1993 French President François Mitterrand , promised , return of rest
French President François Mitterrand , returned In , September
1993 French President François Mitterrand , returned In , September
French President François Mitterrand , promised , return
French President François Mitterrand , returned to , South Korea
1993 French President François Mitterrand , returned to , South Korea
