traffic , returned from , Berlin museum
global traffic , returned from , Berlin museum
global traffic , is in , looted objects
traffic , returned in , 2000
global traffic , returned in , 2000
Dhulikhel , is on , ancient trade route
Dhulikhel , is on , trade route between Nepal
Dhulikhel , is on , ancient trade route between Nepal at a
Dhulikhel , is on , trade route
Dhulikhel , is on , ancient trade route between Nepal at a natural
Dhulikhel , is on , trade route between Nepal at a
Dhulikhel , is on , trade route between Nepal at a natural
Dhulikhel , is on , ancient trade route between central Nepal at a natural
Dhulikhel , is on , ancient trade route between central Nepal at a
Dhulikhel , is on , trade route at a
Dhulikhel , is on , trade route at a natural
Dhulikhel , is on , ancient trade route between Nepal
Dhulikhel , is on , trade route between central Nepal
Dhulikhel , is on , ancient trade route at a
Dhulikhel , is on , ancient trade route at a natural
Dhulikhel , is on , ancient trade route between central Nepal
Dhulikhel , is on , trade route between central Nepal at a
Dhulikhel , is on , trade route between central Nepal at a natural
prosperity , flowering of , secular art
prosperity , encouraged , flowering
prosperity , encouraged , flowering of secular art
prosperity , encouraged , flowering of art
prosperity , flowering of , art
town , has , old centre
Shiva , reclining with , Parvati surrounded by deities
Shiva , reclining with , Parvati surrounded
Shiva , reclining with , Parvati surrounded by deities on Mount Kailas
Shiva , reclining with , Parvati
piece , is , fine
Shiva , reclining with , Parvati surrounded on Mount Kailas
Shiva , reclining with , Uma
cm piece , is made of , limestone
62 cm piece , is made of , gray limestone
cm piece , is made of , gray limestone
62 cm piece , is made of , limestone
62 cm piece , is , made
cm piece , is , made
It , was , stolen from shrine in Wotol area in 1982
It , was stolen from , shrine in Wotol area
It , was , stolen from shrine in Wotol area of Dhulikhel in 1982
It , was stolen from , shrine
It , was stolen in , 1982
It , was , stolen
shrine , is in , Wotol area of Dhulikhel
It , was stolen from , shrine in Wotol area of Dhulikhel
It , was , stolen from shrine in 1982
Uma Maheshwar images , appear , popular
Uma Maheshwar images , appear , popular among international art collectors
Uma Maheshwar images , appear , popular among art collectors
Uma Maheshwar , 's return is , Dixit 1999
Uma Maheshwar , for , return
rounded rock , is in , empty neighbourhood shrine
Wiesbaden , in dealer is , Tuladhar 2000
Uma Maheshwar , surfaced in , inventory of German art dealer
Uma Maheshwar , surfaced in , inventory of art dealer in Wiesbaden
Uma Maheshwar , surfaced in , inventory of German art dealer in Wiesbaden
Uma Maheshwar , surfaced in , inventory
German art dealer , is in , Wiesbaden
Uma Maheshwar , surfaced in , inventory of art dealer
Uma Maheshwar , surfaced in , 1995
Museum für Indische Kunst , is in , Berlin
It , was , purchased
It , was purchased by , Museum für Indische Kunst in Berlin
It , was purchased for , $ 50,000
It , was , purchased by Museum für Indische Kunst in Berlin for $ 50,000
It , was purchased by , Museum für Indische Kunst
It , was , purchased by Museum für Indische Kunst for $ 50,000
Uma Maheshwar , was in , Berlin
Bangdel , recording , antiquities theft
