traffic , looted in , 2001
global traffic , looted in , 2001
global traffic , is in , looted objects
altar , is in , press
Ballcourts , are found at , most major Maya archaeological sites
Ballcourts , are found at , major Maya archaeological sites
They , were , staging ground for pan-Mesoamerican ball game
pan-Mesoamerican ball game , for ground is , extremely significant sporting activity
They , were , once staging ground
They , were , staging ground
They , were , staging ground for ball game
They , were , once staging ground for ball game
They , were , once staging ground for pan-Mesoamerican ball game
ball courts , have , have located at site
Two ball courts , have , have located at site
Two ball courts , have , have located
ball courts , have , have located
they , appear , factor
they , appear , factor into rules
purpose , is , unknown
they , factor into , rules
exact purpose , is , unknown
they , appear , factor into rules of game
they , factor into , rules of game
Several , were recorded in , 1915
Several , were recorded by , archaeologist Sylvanus G. Morley
Several , were , recorded by archaeologist Sylvanus G. Morley in 1915 including ballcourt marker
Several , were , recorded in 1915 including ballcourt marker
Several , were recorded including , Morley 1937
Several , were , recorded by archaeologist Sylvanus G. Morley including ballcourt marker
Several , were recorded including , ballcourt marker
Cancuén , of , stone monuments
Cancúen , of , ballcourt
Several , were , recorded by archaeologist Sylvanus G. Morley in 1915
Several , were , recorded
Guatemalan Ministry , led by , Arthur Demarest
third ballcourt marker , is , known
third ballcourt marker , been , looted
ballcourt marker , been , looted
ballcourt marker , is known , have looted
site , is in , 2001
ballcourt marker , is known , have looted from site in 2001
third ballcourt marker , is known , have looted from site in 2001
third ballcourt marker , been looted from , site
third ballcourt marker , been looted from , site in 2001
ballcourt marker , is , known
third ballcourt marker , is known , have looted from site
ballcourt marker , been looted from , site
ballcourt marker , been looted from , site in 2001
third ballcourt marker , is known , have looted
ballcourt marker , is known , have looted from site
son , spotted , 600-pound piece
son , spotted , piece
Looters , took , it
Looters , removed , it
Looters , removed from , ground
local narcotics traffickers , eventually offered , $ 4,000 USD for it
narcotics traffickers , eventually offered , USD
narcotics traffickers , offered , $ 4,000 USD
narcotics traffickers , eventually offered , $ 4,000 USD for it
narcotics traffickers , offered , $ 4,000 USD for it
local narcotics traffickers , offered , $ 4,000 USD
Photographs , were taken in , effort
narcotics traffickers , offered , USD
local narcotics traffickers , offered , $ 4,000 USD for it
narcotics traffickers , eventually offered , USD for it
narcotics traffickers , offered , USD for it
Photographs , were , taken
local narcotics traffickers , eventually offered , $ 4,000 USD
local narcotics traffickers , offered , USD for it
Photographs , were taken of , ballcourt marker
local narcotics traffickers , eventually offered , USD
local narcotics traffickers , offered , USD
local narcotics traffickers , eventually offered , USD for it
effort , find , buyer
Photographs , were , taken of ballcourt marker in effort
narcotics traffickers , eventually offered , $ 4,000 USD
leader , retrieved , ballcourt marker
leader , However retrieved , ballcourt marker
group , is in , balaclavas carrying
village , group of , men
village , group in , balaclavas
concerned village elders , contacted Dr. Demarest In , February 2003
village elders , contacted , Dr. Demarest asking for help
village elders , contacted Dr. Demarest In , February 2003
concerned village elders , contacted , Dr. Demarest
concerned village elders , contacted , Dr. Demarest asking
Dr. Demarest , asking for , help
village elders , contacted , Dr. Demarest asking
concerned village elders , contacted , Dr. Demarest asking for help
village elders , contacted , Dr. Demarest
head , is in , region
district governor , was , shot hours later allegedly by individuals
district governor , was shot later by , individuals associated
