several stelae , were looted in , 1970s
several archaeologically-recorded stelae , were , looted
stelae , were , from which looted in 1970s
several stelae , were , from which looted in 1970s
stelae , were , looted
several archaeologically-recorded stelae , were looted in , 1970s
several stelae , were , looted
Researching , traffic in , looted objects
Researching , global traffic in , objects
archaeologically-recorded stelae , were , from which looted
Researching , global traffic in , looted objects
archaeologically-recorded stelae , were , looted
stelae , were , from which looted
Researching , traffic in , objects
several stelae , were , from which looted
archaeologically-recorded stelae , were looted in , 1970s
several archaeologically-recorded stelae , were , from which looted
archaeologically-recorded stelae , were , from which looted in 1970s
several archaeologically-recorded stelae , were , from which looted in 1970s
global traffic , is in , looted objects
stelae , were looted in , 1970s
Their whereabouts , are , unknown
Guatemala , in , Petén province
Classic site , is located on , ground west
Classic Maya site , is located on , ground west of Ixcan River
Classic site , is located on , high ground west of Ixcan River
Classic Maya site , is located on , forty kilometres
Classic site , is located on , forty kilometres northeast of site of Tikal in Guatemala 's Petén province
Classic site , is located on , forty kilometres
Classic Maya site , is located on , forty kilometres northeast of site
Classic site , is located on , forty kilometres northeast of site
Classic Maya site , is located on , forty kilometres northeast
Classic site , is located on , high ground west
Classic site , is located on , forty kilometres northeast in Guatemala 's Petén province
Classic site , is located on , forty kilometres northeast of site in Guatemala 's Petén province
Classic Maya site , is located on , forty kilometres northeast in Guatemala 's Petén province
Classic site , is , located
Classic Maya site , is located on , ground west
Classic Maya site , is located on , forty kilometres northeast of site of Tikal in Guatemala 's Petén province
Classic site , is located on , forty kilometres northeast
Classic Maya site , is located on , high ground west
Classic Maya site , is , located
Classic Maya site , is located on , high ground west of Ixcan River
Classic site , is located on , forty kilometres northeast of site of Tikal
Classic site , is located on , ground west of Ixcan River
Classic Maya site , is located on , forty kilometres northeast of site of Tikal
Classic Maya site , is located on , forty kilometres northeast of site in Guatemala 's Petén province
northeast , is in , Guatemala 's Petén province
site , consists of , series of buildings
site , consists of , series
site , was , discovered in 1915 by chiclero
site , was , discovered in 1915 by chiclero named
site , was discovered in , 1915
site , was discovered by , chiclero
it , would make to , site
site , was discovered by , chiclero named
site , was , discovered
Xultun , was , explored
They , named , site in reference to date recorded in text on Stela 10
They , also named , site in reference to late date recorded
They , named , site in reference to date recorded in text
They , also named , site in reference
They , also named , site in reference to late date recorded in text on Stela 10
They , named , site
They , also named , site
They , also named , site in reference to late date
They , named , site in reference
They , also named , site in reference to late date recorded in text
They , named , site in reference to late date recorded in text
site , is in , reference to late date recorded
They , named , site in reference to late date
They , also named , site in reference to date recorded
They , named , site in reference to late date recorded in text on Stela 10
They , also named , site in reference to date recorded in text
They , named , site in reference to date recorded
They , also named , site in reference to date
They , also named , site in reference to date recorded in text on Stela 10
They , named , site in reference to date
They , named , site in reference to late date recorded
Morley , spent , his team
Morley , spent at , Xultun
they , recorded , Stelae 18
they , took , photographs
last time , is in , 1923
Xultun , feed , international demand
Xultun , was , Like Maya site in Petén heavily looted in 1960s
Xultun , was looted Like , nearly Maya site in Petén
Xultun , feed , international demand for ceramics
Xultun , feed , international demand for Maya ceramics
Xultun , was heavily looted Like , Maya site in Petén
Xultun , was , Like nearly Maya site in Petén heavily looted in 1960s
Xultun , was looted Like , Maya site in Petén
Xultun , feed , demand for ceramics
Xultun , was heavily looted Like , nearly Maya site in Petén
Xultun , was , Like nearly Maya site in Petén looted in 1960s
Xultun , feed , demand for Maya ceramics
Xultun , was , Like Maya site in Petén looted in 1960s
Xultun , feed , demand
he , encountered , that
large trenches , had , At time of my visit had dug into Structures
large trenches , had , At time of my first visit to site had dug into Structures
trenches , had , At time of my visit to site had dug into Structures
trenches , had , At time of my visit had dug into Structures
large trenches , had , At time of my visit to site had dug
trenches , had , At time of my first visit had dug into Structures
large trenches , had , At time of my visit to site had dug into Structures
trenches , had , had dug into Structures
trenches , had , At time of my visit had dug
large trenches , had , At time of my visit had dug
trenches , had , had dug
large trenches , had , At time of my first visit had dug into Structures
trenches , had , At time had dug into Structures
large trenches , had , At time of my first visit to site had dug
large trenches , had , At time had dug
trenches , had , At time of my first visit to site had dug into Structures
trenches , had , At time of my first visit had dug
