Researching , traffic in , objects In 1990 thieves
Corinth excavations , is in , Greece
looted objects , is In , 1990 thieves
Researching , traffic in , looted objects In 1990 thieves
Researching , global traffic in , looted objects In thieves
Researching , global traffic in , looted objects In 1990 thieves
global traffic , is in , looted objects
Researching , global traffic in , objects In thieves
Researching , global traffic in , objects In 1990 thieves
Researching , traffic in , looted objects In thieves
Researching , traffic in , objects In thieves
Several pieces , were , recovered from Christie 's New York in late 1990s
Several pieces , were recovered in , late 1990s
Several pieces , were recovered from , Christie 's New York
pieces , were , recovered
Christie , from , New York
pieces , were recovered from , Christie 's New York
Several pieces , were , recovered
pieces , were recovered in , late 1990s
pieces , were , recovered from Christie 's New York in late 1990s
thieves , broke On , night
Corinth excavations , is in , Greece
thieves , broke into , museum
thieves , broke On , night of 12 April 1990
thieves , broke into , museum of Corinth excavations in Greece
thieves , broke into , museum of Corinth excavations
thieves , recovered by , American School
thieves , assaulting , guard
Classical Studies , is in , Athens
thieves , recovered during , 90 years
thieves , recovered during , 90 years of work
thieves , recovered by , American School of Studies
thieves , recovered by , American School of Classical Studies
thieves , forced , display cases
thieves , recovered by , American School of Classical Studies in Athens
thieves , forced , open display cases
thieves , recovered by , American School of Studies in Athens
ASCSA staff , quickly prepared , inventory of objects
ASCSA staff , quickly prepared , inventory
ASCSA staff , prepared , inventory
ASCSA staff , quickly prepared , inventory of stolen objects
ASCSA staff , prepared , inventory of stolen objects
ASCSA staff , prepared , inventory of objects
ASCSA , also subsidised , June 1990 issue
ASCSA , subsidised , June 1990 issue
theft , was , reported
some , were , where illustrated
theft , was also reported in , September 1990 issue
theft , was reported in , September 1990 issue
some , were , illustrated
theft , was , also reported
burglary , was work of , Karahalios gang
Anastasios Karahalios , both together with , one Ioannis Loris
work , comprising , Anastasios Karahalios
burglary , was , work
burglary , was work of , so-called Karahalios gang
some , was , was stored at home of Wilma Sabala
some , was , where was stored
some , was , where was stored at home
material , was in , By 1993 Miami
some , was , where was stored at home of Wilma Sabala
some , was , was stored at home
stolen material , was in , By 1993 Miami
stolen material , was in , Miami
some , was , was stored
material , was in , Miami
Christie , at , New York
lot , including $ is , Axarlis 2001
