global traffic , is in , looted objects
archaeological site , is ancient capital of , kingdom
site , is , ancient capital
archaeological site , is ancient capital of , Dacian kingdom
site , is capital of , Dacian kingdom
archaeological site , is in , Romania
archaeological site , is capital of , Dacian kingdom
archaeological site , is capital of , kingdom
archaeological site , is , ancient capital
site , is ancient capital of , Dacian kingdom
site , is capital of , kingdom
site , is ancient capital of , kingdom
site , is , capital
archaeological site , is , capital
Dacia , existed from , 82 BC
Romans , conquered , area
Romans , destroyed , Sarmizegetusa Regia
It , is , now property
It , is , property
It , is property within , UNESCO World Heritage site
It , is primary property within , UNESCO World Heritage site
It , is , now primary property
It , is , primary property
It , is now primary property within , UNESCO World Heritage site
It , is now property within , UNESCO World Heritage site
Sarmizegetusa Regia , was , specifically targeted
Sarmizegetusa Regia , was targeted for , looting
Sarmizegetusa Regia , was , targeted
Sarmizegetusa Regia , was specifically targeted for , looting
Sarmizegetusa Regia , was targeted for , looting by crime groups
Sarmizegetusa Regia , was specifically targeted for , looting by organized crime groups
It , has , has alleged
Sarmizegetusa Regia , was specifically targeted for , looting by crime groups
Sarmizegetusa Regia , was targeted for , looting by organized crime groups
twenty-eight Romanians , have , have indicted
Romanians , have , have indicted for looting at Sarmizegetusa Regia
twenty-eight Romanians , have , have indicted for looting at Sarmizegetusa Regia
Romanians , have , have indicted
twenty-eight Romanians , have , have indicted for looting
Romanians , have , have indicted for looting
Information , can , can rudimentarily reconstructed
Information , can , can rudimentarily reconstructed from statements made by looters during investigation
Information , can , can reconstructed from statements made by looters during criminal investigation
Information , can , can rudimentarily reconstructed from statements made during investigation
Information , can , can rudimentarily reconstructed from statements made by looters
Information , can , can rudimentarily reconstructed from statements
Information , can , can reconstructed
Information , can , can rudimentarily reconstructed from statements made during criminal investigation
Information , can , can reconstructed from statements made during investigation
Information , can , can rudimentarily reconstructed from statements made
Information , can , can reconstructed from statements
Information , can , can reconstructed from statements made by looters
Information , can , can reconstructed from statements made during criminal investigation
Information , can , can reconstructed from statements made by looters during investigation
Information , can , can reconstructed from statements made
Information , can , can rudimentarily reconstructed from statements made by looters during criminal investigation
gold bracelets , were , found
gold bracelets , were found along with , number
gold bracelets , were found along with , number of gold
bracelets , have , have recovered
Looted bracelets , have , have recovered
Authorities , have pieced together , information about hoards
Authorities , have pieced , information
Authorities , have pieced together , following information about hoards
Authorities , have pieced together , information
Authorities , have pieced , information about hoards
Authorities , have pieced together , following information
Authorities , have pieced , following information
Authorities , have pieced , following information about hoards
One gold bracelet , staters of , Lysimachus type
silver adornments , uncovered in , spring 1999
silver adornments , uncovered in , spring
bracelet , was , sold at Christie 's New York on 8 December 1999 as lot 26
bracelet , was , sold on 8 December 1999 as lot 26
Christie , at , New York
bracelet , been , recovered
bracelet , was , sold
bracelet , was sold at , Christie 's New York
bracelet , was sold as , lot 26
bracelet , been , since recovered
bracelet , was , sold at Christie 's New York on 8 December 1999
bracelet , was sold on , 8 December 1999
bracelet , was , sold at Christie 's New York as lot 26
Ten gold bracelets , is in , cist
bracelets , were , placed in pairs in prepared pit
bracelets , were placed in , two compartments
bracelets , were , placed in pairs in two compartments in pit
bracelets , were , placed in pairs in two superimposed compartments
bracelets , were , placed in two compartments in pit
bracelets , were , placed in pairs in two superimposed compartments in prepared pit
bracelets , were , placed in pairs in two superimposed compartments in pit
bracelets , were placed in , pairs
bracelets , were , placed in two compartments in prepared pit
bracelets , were , placed in pairs in pit
