antiquities gallery Phoenix Ancient Art , consigned for , sale
antiquities gallery Phoenix Ancient Art , consigned for , sale at Sotheby 's New York
global traffic , is in , looted objects
Sotheby , at , New York
antiquities gallery Phoenix Ancient Art , is in , New York City
stele , was said With , estimated sale price of $ 20,000-30 ,000
stele , derive from , collection
stele , was said , derive
stele , was said , derive from English collection
stele , was said With , sale price of $ 20,000-30 ,000
stele , was said With , sale price
stele , was said With , estimated sale price
stele , was , said
stele , was said , derive from collection
stele , derive from , English collection
piece , been stolen during , 1994 war
piece , been , stolen from Aden Museum during 1994 war in Yemen
piece , been stolen during , 1994 war in Yemen
piece , been stolen from , Aden Museum
Sotheby , has , staff
1994 civil war , is in , Yemen
piece , been , stolen from Aden Museum during 1994 civil war
object , has , provenance
piece , been , stolen from Aden Museum during 1994 war
Sotheby 's staff , investigating , object 's provenance
piece , been stolen during , 1994 civil war
piece , been , stolen from Aden Museum during 1994 civil war in Yemen
piece , been stolen during , 1994 civil war in Yemen
piece , been , stolen
museum , has , claim to title
Sotheby , relinquish , Aboutaam 2004
Sotheby , relinquish , ownership
it , was returned in , December 2004
it , was returned to , Yates 2004
US Immigration , seized , Customs Enforcement
it , was returned to , Yemen
it , was , in December 2004 returned to Yemen
it , was , returned
US Immigration , seized piece in , September 2003
US Immigration , seized , piece
http://nyjtimes.com/cover/12-20-04/Rebuttal-4thCenturyAntiquityReturnedToYemen.htm , accessed , 5 February 2014
Yemen Museum , from , press release
United States Attorney , District of , New York
US seizes antiquity , stolen from , Yemen Museum press release
http://www.justice.gov/usao/nys/pressreleases/September03/yemenanantiquityreturnpr.pdf , accessed , 5 February 2014
http://www.nysun.com/on-the-town/yemeni-stele-returns-to-mideast-home/5705/ , accessed , 5 February 2014
