spectacular hoard discoveries , is in , Ireland
global traffic , ultimately contributed to , prohibition
traffic , contributed to , prohibition
increase , is in , enthusiasm for metal detecting as hobby
global traffic , is in , looted objects One of most spectacular hoard discoveries
global traffic , contributed to , prohibition
traffic , ultimately contributed to , prohibition
Michael Webb , called , his son
Michael , discovered , hoard of early church treasure
Michael , discovered , hoard in Derrynaflan
Michael , discovered , hoard
Michael , significant hoard of , early church treasure
Michael Webb , called in , townland of Lurgoe
Michael , discovered , significant hoard of early church treasure in Derrynaflan
Michael , significant hoard in , Derrynaflan
Michael , hoard of , church treasure
Michael , significant hoard of , church treasure
Michael , discovered , significant hoard
Michael , discovered , hoard of church treasure in Derrynaflan
Michael , hoard in , Derrynaflan
significant hoard , is in , Derrynaflan
Michael , discovered , significant hoard of church treasure
Michael Webb , also called On , 17 February 1980
Michael Webb , also called in , townland of Lurgoe
Michael , discovered , significant hoard in Derrynaflan
Michael Webb , using , his son
Michael Webb , using , metal detectors
Michael Webb , also called , his son
Michael , discovered , significant hoard of church treasure in Derrynaflan
Michael , hoard of , early church treasure
Michael Webb , called On , 17 February 1980
Michael Webb , using , Kelly 1994
Michael Webb , called in , townland
Michael , discovered , significant hoard of early church treasure
Michael , discovered , hoard of church treasure
Michael , discovered , hoard of early church treasure in Derrynaflan
Michael Webb , also called in , townland
discovery , was described as , one exciting events in history of Irish art
discovery , was described as , one of most exciting events in history
discovery , was described as , one events
discovery , was described as , one of most exciting events
discovery , was described as , one of events in history of art
discovery , was described as , one most exciting events in history of Irish art
discovery , was described as , one of events in history
discovery , was described as , one of most exciting events in history of Irish art
hoard , included , chalice
discovery , was described as , one of events in history of Irish art
discovery , was described as , one exciting events
discovery , was described as , one of exciting events
discovery , was described as , one of most exciting events in history of art
hoard , included , bronze strainer ladle
discovery , was described as , one exciting events in history of art
discovery , was described as , one of events
discovery , was described as , one most exciting events in history of art
discovery , was described as , one events in history of Irish art
discovery , was described as , one events in history
discovery , was described as , one most exciting events in history
discovery , was , described
discovery , was described as , one events in history of art
discovery , was described as , one most exciting events
discovery , was described as , one exciting events in history
discovery , was described as , one of exciting events in history of Irish art
discovery , was described as , one of exciting events in history of art
discovery , was described as , one of exciting events in history
exciting events , is in , history of Irish art
hoard , was , found
hoard , was , in which found
finders , reported , their discovery
National Museum , is in , Dublin
they , take , finds to National Museum of Ireland
they , take , finds
they , take , finds to National Museum in Dublin
they , take , finds to National Museum of Ireland in Dublin
they , take , finds to National Museum
this , was , initially rejected by finders as
reward , is in , case
this , was rejected by , finders
finders , were , Under Irish law entitled to reward decided
finders , were , entitled
finders , were , Under Irish law entitled to reward
this , was , rejected as
finders , were entitled to , reward decided
finders , were entitled Under , Irish law
finders , were , Under Irish law entitled to reward decided at IR # 10,000
this , was , rejected by finders as
this , was , rejected
finders , were entitled to , reward
finders , were entitled to , reward decided at IR # 10,000
this , was , initially rejected as
finders , were , Under law entitled to reward decided
finders , were , Under law entitled to reward decided at IR # 10,000
finders , were , Under law entitled to reward
IR # 10,000 , Houses of , Oireachtas 1986
this , was , initially rejected
finders , were entitled Under , law
this , was initially rejected by , finders
High Court , later made , ruling
High Court , made , ruling
Ireland , was in , then recession
Ireland , was in , recession
Webbs , benefit from , public purse
Ireland , was in , then deep recession
Webbs , benefit to , tune
deep recession , is with , massive public service cuts
Ireland , was in , deep recession
Webbs , benefit from , purse
Webbs , benefit to , tune of IR # 5.5 million
Webbs , benefit from , Kelly
final judgement , was , year later delivered
final judgement , was , year later in 1987 delivered
judgement , was delivered in , 1987
further judgement , was , year later in 1987 delivered by Supreme Court
further final judgement , was , year later in 1987 delivered by Supreme Court
final judgement , was , later in 1987 delivered by Supreme Court
further final judgement , was , delivered
judgement , was , delivered
further final judgement , later was delivered in , 1987
judgement , later was delivered by , Supreme Court
further judgement , was , delivered
further final judgement , was delivered by , Supreme Court
further judgement , was , year later in 1987 delivered
further final judgement , was , year later delivered
final judgement , later was delivered by , Supreme Court
Derrynaflan Hoard , is in , fact
final judgement , was , delivered
final judgement , was , year later in 1987 delivered by Supreme Court
final judgement , was delivered by , Supreme Court
further final judgement , was , in 1987 delivered by Supreme Court
judgement , was , later in 1987 delivered by Supreme Court
judgement , was , later delivered
further final judgement , was , later delivered
further final judgement , was , later in 1987 delivered by Supreme Court
further judgement , was , later delivered
final judgement , was , later delivered
further judgement , was , year later delivered
further judgement , was , year later delivered by Supreme Court
judgement , was , year later in 1987 delivered by Supreme Court
judgement , was , in 1987 delivered by Supreme Court
further judgement , later was delivered by , Supreme Court
further final judgement , later was delivered by , Supreme Court
judgement , later was delivered in , 1987
judgement , was delivered by , Supreme Court
further judgement , later was delivered in , 1987
further final judgement , was , year later delivered by Supreme Court
judgement , was , year later in 1987 delivered
further judgement , was delivered by , Supreme Court
further final judgement , was , year later in 1987 delivered
further final judgement , was delivered in , 1987
further judgement , was delivered in , 1987
further judgement , was , in 1987 delivered by Supreme Court
further judgement , was , later in 1987 delivered by Supreme Court
judgement , was , year later delivered by Supreme Court
final judgement , later was delivered in , 1987
