Classic lintel , looted in , late 1960s
Maya wooden lintel , looted from , site of El Zotz
Classic Maya wooden lintel , looted from , site of El Zotz
wooden lintel , looted in , 1960s
Classic Maya carved wooden lintel , looted in , 1960s
Classic Maya lintel , looted from , site
carved lintel , looted in , 1960s
Classic lintel , looted from , site of El Zotz
carved wooden lintel , looted in , late 1960s
Classic carved lintel , looted from , site of El Zotz
lintel , looted in , late 1960s
lintel , looted from , site
Maya carved wooden lintel , looted in , 1960s
Maya carved lintel , looted in , 1960s
carved lintel , looted from , site of El Zotz
Classic carved wooden lintel , looted in , late 1960s
Classic carved wooden lintel , looted from , site of El Zotz
Classic lintel , looted from , site
Maya wooden lintel , looted in , 1960s
Classic wooden lintel , looted from , site
Classic Maya carved wooden lintel , looted from , site of El Zotz
Classic Maya carved lintel , looted in , late 1960s
Classic Maya lintel , looted from , site of El Zotz
Classic Maya carved wooden lintel , looted from , site
wooden lintel , looted from , site
Maya carved lintel , looted from , site
Maya wooden lintel , looted from , site
Classic Maya carved lintel , looted from , site
Classic Maya wooden lintel , looted from , site
Classic wooden lintel , looted in , 1960s
Classic carved lintel , looted in , late 1960s
Classic carved lintel , looted in , 1960s
Classic Maya lintel , looted in , 1960s
Classic carved lintel , looted from , site
Maya lintel , looted in , 1960s
Classic Maya carved wooden lintel , looted in , late 1960s
Maya carved wooden lintel , looted from , site of El Zotz
Classic Maya carved lintel , looted from , site of El Zotz
Classic wooden lintel , looted from , site of El Zotz
Classic Maya lintel , looted in , late 1960s
Classic Maya carved lintel , looted in , 1960s
wooden lintel , looted in , late 1960s
Maya carved wooden lintel , looted in , late 1960s
Maya lintel , looted in , late 1960s
lintel , looted from , site of El Zotz
Maya wooden lintel , looted in , late 1960s
carved lintel , looted from , site
global traffic , is in , looted objects
carved wooden lintel , looted in , 1960s
Maya lintel , looted from , site of El Zotz
Maya carved lintel , looted from , site of El Zotz
Classic Maya wooden lintel , looted in , 1960s
carved wooden lintel , looted from , site
Classic carved wooden lintel , looted in , 1960s
Maya carved lintel , looted in , late 1960s
Classic lintel , looted in , 1960s
carved lintel , looted in , late 1960s
wooden lintel , looted from , site of El Zotz
Classic carved wooden lintel , looted from , site
Classic wooden lintel , looted in , late 1960s
Maya carved wooden lintel , looted from , site
Classic Maya wooden lintel , looted in , late 1960s
carved wooden lintel , looted from , site of El Zotz
Maya lintel , looted from , site
lintel , looted in , 1960s
El Zotz Lintel , is , doorway lintel composed of five sopadilla wood planks
El Zotz Lintel 1 , is , carved wooden doorway lintel composed
El Zotz Lintel 1 , is , carved wooden doorway lintel composed of five sopadilla wood planks
El Zotz Lintel 1 , is , wooden doorway lintel composed
El Zotz Lintel 1 , is , carved doorway lintel
El Zotz Lintel , is , doorway lintel
El Zotz Lintel 1 , is , doorway lintel
