Nahuatl Codex , legally exported in , objects
Codex , exported in , century
Nahuatl Codex , legally exported from , Mexico
Nahuatl Codex , exported in , 19th century
Codex , exported in , looted objects
Aubin Tonalamatl , is codex , which consists of eighteen pages
Nahuatl Codex , exported in , looted objects
Nahuatl Codex , exported in , century
Aubin Tonalamatl , is Nahuatl codex , which consists
Codex , exported to , France
Nahuatl Codex , legally exported in , century
Nahuatl Codex , legally exported in , 19th century
Aubin Tonalamatl , is codex , which consists of eighteen pages on maguey bark paper
Codex , legally exported to , France
Nahuatl Codex , exported to , France
Tonalamatl , is , Nahuatl
Codex , stolen from , Bibliothèque National
Nahuatl Codex , stolen from , Bibliothèque National
Codex , exported from , Mexico
Aubin Tonalamatl , is Nahuatl codex , which consists of eighteen screen-folded pages
Aubin Tonalamatl , is Nahuatl codex , which consists of eighteen screen-folded pages on maguey bark paper
Nahuatl codex , is in , 1982
Codex , legally exported in , objects
Aubin Tonalamatl , is Nahuatl codex , which consists of eighteen pages
Aubin Tonalamatl , is codex , which consists of eighteen screen-folded pages on maguey bark paper
Codex , exported in , objects
Codex , legally exported in , looted objects
Codex , legally exported from , Mexico
Aubin Tonalamatl , is codex , which consists of eighteen screen-folded pages
Nahuatl Codex , exported from , Mexico
Aubin Tonalamatl , is codex , which consists
Aubin Tonalamatl , is Nahuatl codex , which consists of eighteen pages on maguey bark paper
Codex , legally exported in , 19th century
Nahuatl Codex , legally exported in , looted objects
Codex , exported in , 19th century
Codex , legally exported in , century
Nahuatl Codex , legally exported to , France
Nahuatl Codex , exported in , objects
it , be , read
it , is meant , read from right
it , is , meant
It , is , constructed
it , be read from , right
it , be read from , right left
it , is meant , read
it , is meant , read from right left
codex , would , would have 20 pages long
codex , would , would have long
two pages , have , have lost
codex , would , would originally have 20 pages long
codex , would , would originally have long
pages , have , have lost
first two pages , have , have lost
first pages , have , have lost
pages , are , painted
pages , are painted , relate to divination
pages , are painted , relate
pages , relate to , divination
pages , are painted on , one side
It , originated in , state
it , was , collected
It , seems , have originated in Mexican state
It , originated in , state of Tlaxcala
It , seems , have originated in state of Tlaxcala
It , originated in , Mexican state of Tlaxcala
It , seems , have originated
it , was , where collected
It , seems , have originated in Mexican state of Tlaxcala
It , seems , have originated in state
It , originated in , Mexican state
Aubin Tonalamatl , first appears as , kalendario ydolatrico
Aubin Tonalamatl , first appears as , kalendario ydolatrico in inventory
Aubin Tonalamatl , first appears as , kalendario ydolatrico in inventory of collection
Aubin Tonalamatl , appears as , kalendario ydolatrico in inventory
Aubin Tonalamatl , appears as , kalendario ydolatrico in inventory of collection
Aubin Tonalamatl , appears as , kalendario ydolatrico
inventory , was , created as result of confiscation of manuscripts expelled from New Spain in 1743
inventory , was created as , result of confiscation
inventory , was , created as result of confiscation expelled
