2 m marble statue , owned by , J. Paul Getty Museum
Getty kouros , is , in objects 2 m high marble statue owned
Getty kouros , is , marble statue owned by J. Paul Getty Museum
Getty kouros , is , in looted objects high marble statue owned by J. Paul Getty Museum
Getty kouros , is , in looted objects 2 m high marble statue owned by J. Paul Getty Museum
Getty kouros , is , 2 m marble statue owned by J. Paul Getty Museum
Getty kouros , is , high marble statue owned by J. Paul Getty Museum
Getty kouros , is , in looted objects 2 m marble statue owned
Getty kouros , is , in looted objects marble statue owned by J. Paul Getty Museum
Getty kouros , is , in looted objects high marble statue owned
Getty kouros , is , in objects 2 m marble statue
Getty kouros , is , in looted objects 2 m high marble statue owned
Getty kouros , is , in looted objects 2 m high marble statue
Getty kouros , is , in looted objects 2 m marble statue owned by J. Paul Getty Museum
Getty kouros , is , in looted objects marble statue
Getty kouros , is , high marble statue owned
Getty kouros , is , 2 m high marble statue
Getty kouros , is , 2 m marble statue owned
high marble statue , owned by , J. Paul Getty Museum
Getty kouros , is , in objects 2 m high marble statue
Getty kouros , is , in objects marble statue
kouros , is , m
kouros , is , high
Getty kouros , is , marble statue owned
2 m high marble statue , owned by , J. Paul Getty Museum
Getty kouros , is , 2 m high marble statue owned by J. Paul Getty Museum
Getty kouros , is , in looted objects high marble statue
Getty kouros , is , high marble statue
Getty kouros , is , in looted objects marble statue owned
Getty kouros , owned by , J. Paul Getty Museum
Getty kouros , is , in objects high marble statue owned
Getty kouros , is , in objects marble statue owned by J. Paul Getty Museum
2 m high marble statue , is in , looted objects
Getty kouros , is , in looted objects 2 m marble statue
Getty kouros , is , 2 m marble statue
Getty kouros , is , 2 m high marble statue owned
Getty kouros , is , in objects 2 m marble statue owned by J. Paul Getty Museum
Getty kouros , is , marble statue
Getty kouros , is , in objects high marble statue owned by J. Paul Getty Museum
Getty kouros , is , in objects marble statue owned
marble statue , owned by , J. Paul Getty Museum
Getty kouros , is , in objects 2 m marble statue owned
Getty kouros , is , in objects 2 m high marble statue owned by J. Paul Getty Museum
Getty kouros , is , in objects high marble statue
AA .40 , appearing to , date Greece
AA .40 , appearing to , date sixth-century Greece
AA .40 , appearing to , date
kouros , was , acquired on loan for approval by Getty curator Jiri Frel in September 1983
kouros , was acquired on , loan for approval by Getty curator Jiri Frel
kouros , was acquired in , September 1983
kouros , was , acquired on loan for approval by Getty curator Jiri Frel from Gianfranco Becchina in September 1983
kouros , was acquired on , loan for approval from Gianfranco Becchina
kouros , was acquired on , loan for approval
kouros , was acquired on , loan
kouros , was , acquired on loan for approval in September 1983
kouros , was , acquired on loan for approval from Gianfranco Becchina in September 1983
kouros , was acquired on , loan for approval by Getty curator Jiri Frel from Gianfranco Becchina
kouros , was , acquired
kouros , was , acquired on loan in September 1983
it , was said , have possession of resident Jean Lauffenberger
it , was said , have possession since 1930
it , was said , have possession of Jean Lauffenberger
letters , written to , Lauffenberger
it , been in , possession of Swiss resident Jean Lauffenberger
it , been in , possession of Swiss Jean Lauffenberger since 1930
it , been in , possession of Jean Lauffenberger
it , was said , have possession of Swiss Jean Lauffenberger
it , was said , have possession of resident Jean Lauffenberger since 1930
it , was said , have possession of Swiss resident Jean Lauffenberger since 1930
it , was said , have possession of Swiss Jean Lauffenberger since 1930
