Italian antiquities dealer , is in , looted objects
Becchina , is , Italian
Becchina , started , dealing from his premises
Becchina , started , dealing in antiquities from his premises in 1970s
Becchina , started , dealing in antiquities
Becchina , started , dealing from his premises in Basel
Becchina , started , dealing from his premises in Basel in 1970s
Becchina , dealing from , his premises
Becchina , started , dealing in 1970s
his premises , is in , Basel
Becchina , started , dealing in antiquities from his premises in Basel in 1970s
Becchina , is , said
Becchina , started , dealing in antiquities in 1970s
Becchina , started , dealing from his premises in 1970s
Becchina , started , dealing in antiquities from his premises
Becchina , started , dealing in antiquities from his premises in Basel
Becchina , started , dealing
Becchina , dealing in , antiquities
Becchina , dealing from , his premises in Basel
Becchina , dealing in , 1970s
entire tomb groups , is in , 1986
Dietrich von Bothmer , to fragments is , Isman 2011b
It , is , also claimed
Merrin Gallery , is in , New York
It , is , claimed
he , was , major
He , had , links with dealers Mario Bruno
Christie , has , auction houses
He , had , links
links , is with , fellow dealers Mario Bruno
Watson , is in , London
Carabinieri , identified among , photographs discovered in wreckage of Pasqale Camera 's car one of Paestan red-figure krater attributed
Carabinieri , identified among , photographs discovered in wreckage
Pasqale Camera , of , car one of Paestan red-figure krater attributed to Asteas
had investigation , dealing in , antiquities
Carabinieri , identified among , photographs discovered
Carabinieri , identified among , photographs
Carabinieri , identified In , 1994
Carabinieri , identified among , photographs discovered in wreckage of Pasqale Camera 's car
Carabinieri , identified among , photographs discovered in wreckage of Pasqale Camera 's car one Paestan red-figure krater attributed
Getty , had acquired , piece
Getty , had acquired piece from , Becchina
he , was shown as , head of cordata
Carabinieri , Soon recognized , his place
he , was , where shown as head of cordata
Carabinieri , Soon after recognized , his place
he , was , shown
he , was shown as , head
Carabinieri , Soon after recognized , his central place
Carabinieri , after recognized , his central place
he , was , where shown as head
Carabinieri , recognized , his central place
he , was , where shown
Carabinieri , Soon recognized , his central place
four years , is in , prison
Carabinieri , recognized , his place
Carabinieri , after recognized , his place
Becchina , had moved By , then
Becchina , leaving , his wife Rosie
his wife Rosie , oversee , his business
Becchina , had moved back , leaving
Becchina , had moved back By , then
his wife , oversee , his business
his wife , Rosie in , Basel
Becchina , had moved in , Sicily
Becchina , had moved back in , Sicily
his wife Rosie , oversee there , his business
Becchina , had moved , leaving
his wife Rosie , is in , Basel
his wife , oversee there , his business
Becchina , leaving , his wife Rosie in Basel
gallery Antike Kunst Palladion , facilities inside , Basel Freeport
Carabinieri , is in , collaboration with Swiss police
Carabinieri , is in , May 2002
collaboration , is with , Swiss police
storage facility , was , discovered
fourth storage facility , operated by , Becchina
fourth storage facility , raided in , 2005
storage facility , operated by , Becchina
storage facility , raided in , 2005
fourth storage facility , was , discovered
recovery , is in , various stages of restoration
Becchina , was convicted in , Rome dealing in antiquities
Becchina , was , convicted
Becchina , was convicted in , Rome
Becchina , was convicted In , February 2011
Becchina , was , In February 2011 convicted in Rome
Becchina , was , In February 2011 convicted in Rome illegally dealing
Becchina , was convicted in , Rome illegally dealing
Becchina , was convicted in , Rome dealing
Becchina , was , In February 2011 convicted in Rome illegally dealing in antiquities
Becchina , was convicted in , Rome illegally dealing in antiquities
Becchina , was , In February 2011 convicted in Rome dealing
Becchina , was , In February 2011 convicted in Rome dealing in antiquities
He , appealed against , conviction
He , appealed against , ICE 2012b
J. Paul Getty Museum , have , Toledo Museum of Art
J. Paul Getty Museum , have , Toledo Museum
J. Paul Getty Museum , have , Toledo Museum of Art
J. Paul Getty Museum , have , Toledo Museum
US Immigration , returned , two vessels
US Immigration , returned , Customs Enforcement
US Immigration , returned In , April 2012
Christie , from , New York auction house
US Immigration , returned , Customs Enforcement
US Immigration , returned , two ceramic vessels
artefacts , had , had imported into United States
artefacts , had , had imported
United States , is in , 2001
artefacts , had , had imported in violation
artefacts , had , had imported in violation of bilateral agreement
artefacts , had , had imported into United States in violation of bilateral agreement
artefacts , had , had imported into United States in violation of agreement
artefacts , had , had imported in violation of agreement
artefacts , had , had imported into United States in violation
ICE , returns to , Italy ' press release
http://m.ice.gov/news/releases/1204/120426washingtondc.htm?f=m , accessed , 15 August 2012
artifact , for , return to Italy ' press release
ICE , way for , artifact 's return to Italy ' press release
http://www.ice.gov/news/releases/1206/120618cleveland.htm , accessed , 15 August 2012
Isman , verdict for , dealer
2 m marble statue , owned by , J. Paul Getty Museum
Getty kouros , is , marble statue owned by J. Paul Getty Museum
2 m high marble statue , owned by , J. Paul Getty Museum
Getty kouros , is , 2 m marble statue owned by J. Paul Getty Museum
Getty kouros , is , 2 m high marble statue owned by J. Paul Getty Museum
Getty kouros , is , high marble statue owned by J. Paul Getty Museum
Getty kouros , is , high marble statue
Getty kouros , is , 2 m marble statue
Getty kouros , is , 2 m high marble statue owned
Getty kouros , is , high marble statue owned
Getty kouros , is , 2 m high marble statue
Getty kouros , is , 2 m marble statue owned
Getty kouros , is , marble statue
high marble statue , owned by , J. Paul Getty Museum
marble statue , owned by , J. Paul Getty Museum
kouros , is , m
kouros , is , high
Getty kouros , is , marble statue owned
AA .40 , appearing to , date Greece
AA .40 , appearing to , date sixth-century Greece
AA .40 , appearing to , date
J. Paul Getty Museum , returned to , Italy
J. Paul Getty Museum , returned , three objects
Artefacts , returned after , Italian investigations into trading
Artefacts , returned to , Italy
Artefacts , returned after , investigations
Artefacts , returned after , Italian investigations into illicit trading
Artefacts , returned after , investigations into illicit trading
Artefacts , returned after , investigations into trading
Artefacts , returned in , 2007
Artefacts , returned after , Italian investigations
Jiri Frel , was curator at , J.Paul Getty Museum
Jiri Frel , was associated with , irregularities
Jiri Frel , was , associated
Jiri Frel , was , curator
Jiri Frel , was curator of , antiquities
Jiri Frel , was associated with , several irregularities regarding museum acquisitions
Jiri Frel , was associated with , several irregularities
Jiri Frel , was , curator of antiquities at J.Paul Getty Museum
Jiri Frel , was associated with , irregularities regarding museum acquisitions
informative studies , is in , cultural objects
Operation Andromeda , was , name given to police investigation
Operation Andromeda , was , name given to police investigation of Japanese antiquities dealer Noriyoshi Horiuchi
Operation Andromeda , was , name given to police investigation of antiquities dealer Noriyoshi Horiuchi
Operation Andromeda , was , name given
Operation Andromeda , was , name
Operation Geryon , was , name given by Carabinieri to investigation from castle of Melfi
Operation Geryon , was , name given by Carabinieri to investigation
Operation Geryon , was , name given to investigation into theft from castle
Operation Geryon , was , name given to investigation into armed theft of eight antiquities
Operation Geryon , was , name given to investigation into armed theft of eight antiquities from castle of Melfi
Operation Geryon , was , name given to investigation into armed theft of eight antiquities from castle
Operation Geryon , was , name given by Italian Carabinieri to investigation into theft from castle of Melfi
Operation Geryon , was , name
Operation Geryon , was , name given to investigation into theft from castle of Melfi
Operation Geryon , was , name given by Carabinieri to investigation into armed theft of eight antiquities
Operation Geryon , was , name given by Italian Carabinieri to investigation into armed theft from castle
Operation Geryon , was , name given to investigation into theft of eight antiquities from castle
Operation Geryon , was , name given by Italian Carabinieri to investigation into armed theft of eight antiquities
Operation Geryon , was , name given by Carabinieri to investigation into armed theft
Operation Geryon , was , name given by Italian Carabinieri to investigation into armed theft of eight antiquities from castle of Melfi
Operation Geryon , was , name given by Carabinieri to investigation into armed theft of eight antiquities from castle
Operation Geryon , was , name given to investigation from castle
Operation Geryon , was , name given by Carabinieri to investigation into theft from castle of Melfi
Operation Geryon , was , name given by Carabinieri to investigation into theft of eight antiquities from castle
Operation Geryon , was , name given to investigation into theft
Operation Geryon , was , name given to investigation
Operation Geryon , was , name given by Carabinieri to investigation into theft of eight antiquities
Operation Geryon , was , name given to investigation into armed theft from castle of Melfi
