it , break into , easily-transportable fragments
Trafficking Culture , causing , it
global traffic , doused , it in water
global traffic , is in , looted objects
traffic , doused , it
global traffic , doused , it
traffic , doused , it in water
it , break into , fragments
doused , it in , water
Guatemala , in , Péten Department
Ixkun , is , Maya
Ixkun , is , Maya site
Ixkun , is , site
Ixkun , was , inhabited from Preclassic into Postclassic periods
Ixkun , was , inhabited from Preclassic into periods
Ixkun , was inhabited from , Preclassic
Ixkun , was inhabited into , periods
Ixkun , was inhabited into , Postclassic periods
Ixkun , was , inhabited
ruins , were , first published in 1852 following visit
ruins , were first published in , 1852
ruins , were , first published
ruins , were first published following , visit
ruins , were , first published in 1852 following visit by Colonel Modesto Mendez
ruins , were first published following , visit by Colonel Modesto Mendez
ruins , were , published in 1852 following visit
ruins , have , have known for time
ruins , were , published in 1852 following visit by Colonel Modesto Mendez
ruins , were published following , visit
ruins , were published following , visit by Colonel Modesto Mendez
ruins , were published in , 1852
ruins , have , have known
ruins , were , published
Early interest , is in , site
tallest monuments , is in , Péten Laport
Archaeologist Alfred Maudslay , spending there , total of three weeks
Archaeologist Alfred Maudslay , spending there , total
Archaeologist Alfred Maudslay , spending , total
Archaeologist Alfred Maudslay , mapped site in , 1887
Archaeologist Alfred Maudslay , mapped , site
Archaeologist Alfred Maudslay , spending , total of three weeks
His excavations , be among , first formal archaeological digs within region
His excavations , are considered , archaeological digs
His excavations , be among , archaeological digs within region
His excavations , are considered , archaeological digs within region
His excavations , are considered , archaeological digs within Maya region
His excavations , are considered , first archaeological digs within Maya region
His excavations , be among , first digs within Maya region
His excavations , are considered , first digs
His excavations , be among , archaeological digs
His excavations , be among , first formal archaeological digs within Maya region
His excavations , are considered , formal digs within region
His excavations , are considered , first archaeological digs within region
His excavations , be among , first formal digs
His excavations , are considered , first formal archaeological digs within region
His excavations , are considered , first digs within region
His excavations , be among , digs
His excavations , be among , first digs within region
His excavations , are considered , formal archaeological digs within Maya region
His excavations , are considered , first formal archaeological digs within Maya region
His excavations , are considered , digs within Maya region
His excavations , are considered , first formal digs within Maya region
His excavations , be among , archaeological digs within Maya region
His excavations , are considered , formal archaeological digs within region
His excavations , are considered , formal digs within Maya region
His excavations , be among , first archaeological digs within Maya region
His excavations , be among , first archaeological digs
His excavations , be among , digs within Maya region
His excavations , are considered , first archaeological digs
His excavations , be among , first archaeological digs within region
His excavations , be among , formal digs within Maya region
His excavations , are considered , formal archaeological digs
His excavations , be among , first formal archaeological digs
His excavations , are , considered
His excavations , are considered , first digs within Maya region
His excavations , be among , first formal digs within Maya region
His excavations , be among , first formal digs within region
His excavations , are considered , first formal archaeological digs
His excavations , are considered , digs
His excavations , be among , formal archaeological digs within Maya region
His excavations , be among , formal archaeological digs
His excavations , be among , formal digs
His excavations , be among , digs within region
His excavations , are considered , first formal digs within region
His excavations , are considered , first formal digs
His excavations , are considered , formal digs
His excavations , be among , formal digs within region
His excavations , are considered , digs within region
His excavations , be among , formal archaeological digs within region
His excavations , be among , first digs
Sylvanus Morley , documentation of , monuments
Sylvanus Morley , conducted documentation of , Graham 1980
Sylvanus Morley , remapped , Herbert Spindon
