Artefacts , returned after , Italian investigations into trading
Artefacts , returned to , Italy
Artefacts , returned after , investigations
Artefacts , returned after , Italian investigations into illicit trading
global traffic , is in , looted objects
Artefacts , returned after , investigations into illicit trading
Artefacts , returned in , 2007
Artefacts , returned after , investigations into trading
Artefacts , returned after , Italian investigations
images , can , can found in our Tracking Illicit Antiquities section
images , related to , return
Seized images , can , can found in our Tracking Illicit Antiquities section
images related , can , can found
Seized images , related to , return
Seized images related , can , can found
Seized images , related to , eventual return
images , related to , eventual return
images related , can , can found in our Tracking Illicit Antiquities section
Seized images related , can , can found in our Tracking Illicit Antiquities section
images , can , can found
Seized images , can , can found
conjunction , is with , Swiss police
Italian Carabinieri , raided , antiquities dealer Giacomo Medici 's storerooms in Geneva Freeport
Carabinieri , raided , Italian antiquities dealer Giacomo Medici 's storerooms
Italian Carabinieri , is in , conjunction with Swiss police
Italian antiquities dealer Giacomo Medici 's storerooms , is in , Geneva Freeport
Carabinieri , raided , Italian antiquities dealer Giacomo Medici 's storerooms in Geneva Freeport
Carabinieri , raided , antiquities dealer Giacomo Medici 's storerooms
Italian Carabinieri , raided , Italian antiquities dealer Giacomo Medici 's storerooms
Carabinieri , raided , antiquities dealer Giacomo Medici 's storerooms in Geneva Freeport
Italian Carabinieri , raided , antiquities dealer Giacomo Medici 's storerooms
Italian antiquities dealer Giacomo Medici , has , storerooms in Geneva Freeport
Italian Carabinieri , raided , Italian antiquities dealer Giacomo Medici 's storerooms in Geneva Freeport
raids , were part of , wide-ranging investigation trade
raids , were part of , investigation trade
Medici , on , storerooms
raids , were part of , wide-ranging investigation into antiquities trade
raids , were part of , wide-ranging investigation
US dealer Robert Hecht 's apartment , is in , Paris
raids , were part of , wide-ranging investigation into antiquities
US dealer Robert Hecht , on , apartment in Paris
raids , were part of , investigation into antiquities trade
raids , were part of , investigation
raids , were , part
raids , were part of , investigation into antiquities
she , was , interviewed in 2001 by prosecutors
she , was , interviewed in 2001 by Italian prosecutors
she , was interviewed by , Italian prosecutors
she , was interviewed by , prosecutors
Marion True , Curator at , J. Paul Getty Museum
she , was , interviewed
Marion True , Curator of , Antiquities
she , was interviewed in , 2001
journalists Jason Felch , pages , Ralph Frammolino
Getty 's involvement , is with , Italian antiquities trade
Getty , has , involvement with Italian antiquities trade
journalists Jason Felch , obtained , Ralph Frammolino
Getty , were , stolen
light , is in , Los Angeles
evidence , regarding , Getty 's involvement with Italian antiquities trade
More evidence , regarding , Getty 's involvement with Italian antiquities trade
dubious sources , is in , Italy
Marion True , was charged In , November 2005
Marion True , was , In November 2005 charged in court
Marion True , was , charged
Marion True , was charged in , court
Marion True , was , In November 2005 charged in Italian court
Marion True , was charged in , Italian court
evidence , collected during , course investigation
evidence , collected during , course
evidence , also caused , several US art museums
evidence , also caused , US art museums
evidence , return , material to Italy
evidence , return , material
evidence , collected during , course Italian investigation
