it , returning in , Sicily
it , returning in , Aidone
Aidone , Head of , Hades
J. Paul Getty Museum , announced On , January 10 2013
it , returning in , Terracotta Head of Hades
it , returning in , Terracotta Head
it , returning to , Museo Archeologico
head , been looted from , Morgantina sanctuary in 1970s
head , been looted from , Morgantina sanctuary of Demeter in 1970s
Morgantina sanctuary , is in , 1970s
head , been looted from , Morgantina sanctuary
head , been , looted
head , been looted from , Morgantina sanctuary of Demeter
References Getty , announces , return of head
References Getty , announces , return
References Getty , announces , return of head of Hades
http://news.getty.edu/press-materials/press-releases/hades-returns-to-sicily.htm , accessed , 15 January 2013
Ng , return , Hades terracotta head
Ng , return , Hades head
http://www.latimes.com/entertainment/arts/culture/la-et-cm-getty-museum-hades-sculpture-sicily-20130110,0,2715069.story , accessed , 15 January 2013
It , was acquired in , 1988
It , was acquired by , J. Paul Getty Museum
It , returned to , Italy
It , returned in , 2007
It , was , acquired
It , was , acquired by J. Paul Getty Museum in 1988
J. Paul Getty Museum , returned to , Italy
J. Paul Getty Museum , returned , three objects
Artefacts , returned after , Italian investigations into trading
Artefacts , returned to , Italy
Artefacts , returned after , Italian investigations into illicit trading
Artefacts , returned after , investigations
Artefacts , returned after , investigations into illicit trading
Artefacts , returned in , 2007
Artefacts , returned after , investigations into trading
Artefacts , returned after , Italian investigations
silver hoard , removed from , Sicilian site Morgantina
looters , is in , around 1979/80
silver hoard , removed from , Sicilian site
