some , were later identified from , site of Sipán
some , were , purchased
some , were purchased in , 1987
some , were identified from , site of Sipán
some , were purchased in , United States
global traffic , is in , looted objects
some , were identified from , site
some , were later identified from , site
some , were , purchased in United States in 1987
he , donate , his collection of metal objects
New Mexico History Museum , courted collector John Bourne For , years
he , donate , his collection
New Mexico History Museum , courted collector John Bourne with , hope
he , donate , his collection of Pre-Conquest metal objects
New Mexico History Museum , courted , local collector John Bourne
Palace , is in , Santa Fe
New Mexico History Museum , courted , collector John Bourne
New Mexico History Museum , courted collector John Bourne For , several years
monkey bead , came from , looted site of Sipán
monkey bead , came from , famously Moche site
monkey bead , came from , Moche site of Sipán
monkey bead , came from , famously looted site of Sipán in Peru 's Lambayeque Valley
monkey bead , came from , famously site
Sipán , is in , Peru 's Lambayeque Valley
monkey bead , came from , Moche site of Sipán in Peru 's Lambayeque Valley
monkey bead , came from , famously looted Moche site
Peruvian archaeologist Walter Alva , speculated in , 1998
monkey bead , came from , famously looted Moche site of Sipán in Peru 's Lambayeque Valley
Peru , in , Lambayeque Valley
monkey bead , came from , famously looted site
monkey bead , came from , looted site of Sipán in Peru 's Lambayeque Valley
monkey bead , came from , looted Moche site of Sipán in Peru 's Lambayeque Valley
monkey bead , came from , looted Moche site of Sipán
monkey bead , came from , famously looted site of Sipán
monkey bead , came from , site of Sipán
monkey bead , came from , famously looted Moche site of Sipán
monkey bead , came from , site of Sipán in Peru 's Lambayeque Valley
monkey bead , came from , famously Moche site of Sipán
monkey bead , came from , famously site of Sipán in Peru 's Lambayeque Valley
monkey bead , came from , site
monkey bead , came from , looted Moche site
monkey bead , came from , Moche site
monkey bead , came from , famously site of Sipán
archaeologist Walter Alva , speculated in , 1998
monkey bead , came from , looted site
monkey bead , came from , famously Moche site of Sipán in Peru 's Lambayeque Valley
import restrictions , were put in , place
he , inherited , donated pieces
import restrictions , were , put
he , inherited , pieces
specific import restrictions , were , put
specific import restrictions , were put in , place
Benjamin Bishop Johnson , was , former art historian
1987 Johnson , purchased shipment According to , testimony of Michael Kelly
Johnson , purchased , shipment from Sipán
1987 Johnson , purchased shipment at_time , only six months
1987 Johnson , purchased shipment at_time , six months
