traffic , smuggled , resulting
Maya sculpture , looted from , Guatemala
traffic , smuggled , resulting in court decision
global traffic , smuggled , resulting in court decision
global traffic , smuggled into , U.S.
sculpture , looted from , Guatemala
traffic , smuggled , resulting in ground-breaking court decision
global traffic , smuggled , resulting in ground-breaking court decision
global traffic , is in , looted objects
traffic , smuggled into , U.S.
global traffic , smuggled , resulting
Machaquilá , is , site located in part of Guatemala 's Petén department
Machaquilá , is , Maya site located in part
Machaquilá , is , Maya site located in isolated part of Guatemala 's Petén department
Machaquilá , is , site located in part
Guatemala , of , Petén department
Machaquilá , is , Maya site located in isolated part
Machaquilá , is , Maya
Machaquilá , is , Maya site
Machaquilá , is , site
Machaquilá , is , site located
Machaquilá , is , Maya site located
Machaquilá , is , located
Machaquilá , is , site located in isolated part
Machaquilá , is , site located in isolated part of Guatemala 's Petén department
Machaquilá , is , Maya site located in part of Guatemala 's Petén department
site , is , difficult
site , is , difficult site
site , is difficult site to , access
site , is site to , access
site , is , site
Its remote location , buffered , Machaquilá
Its location , buffered Machaquilá from , fallout of conflict of Classic period
site , experienced florescence during , 9th century AD
site , experienced florescence in , wake
site , experienced , brief florescence
Its remote location , buffered Machaquilá from , fallout of conflict of Classic period
Its location , buffered Machaquilá from , fallout of endemic conflict of Classic period
Its remote location , buffered Machaquilá from , fallout of endemic conflict of Classic period
Its location , buffered , Machaquilá
Its location , buffered Machaquilá from , fallout of endemic conflict of period
Its location , buffered Machaquilá from , fallout of conflict of period
site , experienced florescence during , century AD
site , experienced , florescence
site , experienced florescence in , wake of Tikal-Calakmul Wars
Its remote location , buffered Machaquilá from , fallout of conflict
Its remote location , buffered Machaquilá from , fallout of endemic conflict of period
Its location , buffered Machaquilá from , fallout of conflict
Its location , buffered Machaquilá from , fallout of endemic conflict
Its remote location , buffered Machaquilá from , fallout of conflict of period
Its location , buffered Machaquilá from , fallout
Its remote location , buffered Machaquilá from , fallout
Its remote location , buffered Machaquilá from , fallout of endemic conflict
it , Afterwards fell along with , rest of Petén
it , fell along with , rest
people , produced , stela
it , Afterwards fell along with , rest
it , Afterwards fell into , decline
it , fell into , decline
it , fell along with , rest of Petén
people , produced stela for , nearly 40 years
stela , people of , Machaquilá
17 stelas , Graham , six altars
looted , were removed for , their protection
Many , were looted during , pillage of Petén in 1960s
Many , were looted during , pillage in 1960s
looted , were removed for , their protection by Guatemalan government
looted , were removed for , their own protection by government
Many , were looted during , pillage
endemic pillage , is in , 1960s
Many , were looted during , pillage of Petén
Many , were , looted
looted , were , removed
looted , were removed for , their own protection
Many , were looted during , endemic pillage of Petén
Many , were looted during , endemic pillage of Petén in 1960s
looted , were removed for , their protection by government
looted , were removed for , their own protection by Guatemalan government
Many , were looted during , endemic pillage in 1960s
Many , were looted during , endemic pillage
cuts , are , visible
Two Costa Rican brothers , working for , Union Oil Company
Archaeologist Ian Graham , contacted , men
they , confirmed , their discovery
1961 Graham , recorded , presence
Graham , recorded , presence of stelas
Graham , recorded , presence
1961 Graham , recorded , presence of stelas
he , record , stelas
he , record , various carved stelas
he , specifically record , various carved stelas
he , spent , considerably more time at site
he , record , various stelas
he , record stelas via , photographs
he , record , carved stelas
he , specifically record , various stelas
he , specifically record , carved stelas
he , spent , more time at site
he , specifically record stelas via , photographs
he , spent , time at site
he , specifically record , stelas
Stela , was , Thus discovered
Stela 2 , was , Thus discovered
Machaquilá , was , Thus discovered
Machaquilá , was , discovered
Stela , was , discovered
Stela 2 , was , discovered
Machaquilá Stela 2 , been , looted
Machaquilá Stela 2 , exhibited for , sale in Florida
Machaquilá Stela , exhibited for , sale in Florida
Machaquilá Stela 2 , exhibited for , sale
Dr. William Bullard , contacted , Ian Graham
Dr. William Bullard , contacted Ian Graham In , 1971
sale , is in , Florida
Machaquilá Stela , exhibited for , sale
Machaquilá Stela , been , looted
