J.Paul Getty Museum , is in , Los Angeles
global traffic , is in , looted objects
She , was , charged
She , tried on , offences related
She , tried on , offences
She , tried in , Italy
She , tried on , offences related to antiquities smuggling
Jiri Frel , Curator of , Antiquities
Marion True , curatorial assistant in , 1982
Marion True , was appointed , assistant at J. Paul Getty Museum
Marion True , was appointed under , supervision
Marion True , curatorial assistant at , J. Paul Getty Museum
Marion True , was appointed , curatorial assistant at J. Paul Getty Museum in 1982
Marion True , was appointed , curatorial assistant at J. Paul Getty Museum
Marion True , was appointed under , supervision of Jiri Frel
Marion True , was , appointed
Marion True , was appointed , assistant at J. Paul Getty Museum in 1982
Marion True , assistant in , 1982
Marion True , was appointed , assistant
Marion True , assistant at , J. Paul Getty Museum
curatorial assistant , is in , 1982
Marion True , was appointed , curatorial assistant in 1982
Marion True , was appointed , assistant in 1982
Marion True , was appointed , curatorial assistant
True , was promoted After , Frel 's departure in 1986
Frel , After , departure in 1986
Frel 's departure , is in , 1986
True , was , promoted
True , was promoted After , Frel 's departure
True , replace , him
True , was responsible for , controversial acquisitions of material including 1988 purchase of Getty Aphrodite
True , was responsible for , acquisitions
True , was responsible for , acquisitions of unprovenanced material
True , was , responsible
True , was responsible for , controversial acquisitions of unprovenanced material
True , was responsible for , acquisitions of material
True , was responsible for , controversial acquisitions of material including 1988 purchase
True , was responsible for , controversial acquisitions of unprovenanced material including 1988 purchase
True , was responsible for , acquisitions of unprovenanced material including 1988 purchase
True , was responsible for , acquisitions of material including 1988 purchase of Getty Aphrodite
True , was responsible for , controversial acquisitions
True , was responsible for , controversial acquisitions of material
True , was responsible for , acquisitions of material including 1988 purchase
Kanakaria mosaics , is in , 1988
She , also rejected , assemblages
She , also rejected , potentially high-profile assemblages
She , rejected , high-profile assemblages
She , rejected , assemblages
She , also rejected , high-profile assemblages
She , rejected , potentially high-profile assemblages
it , was , shown
She , return material to , its country of origin
Francavilla Maritima , is in , Italy
She , return , material
She , return material to , its country
Italy , in Maritima is , Lyons 2010
She , was , prepared
it , was , shown convincingly
True , was , driving force
True , was driving force behind , Getty 's adoption of clear policy guidelines
True , regards , its acquisition of unprovenanced antiquities
True , was driving force behind , Getty 's adoption
Getty , behind , adoption of clear policy guidelines
True , was force behind , Getty 's adoption of policy guidelines
True , was force behind , Getty 's adoption of clear policy guidelines
True , regards , its acquisition of antiquities
True , was driving force behind , Getty 's adoption of policy guidelines
True , was force behind , Getty 's adoption
True , was , force
True , regards , its acquisition
first version , is in , 1987
only policy , is in , place at major collecting museum
first version , required , Getty
version , required , Getty
version , required , notify
first version , required , notify
acquisition country , verifiable claim of , theft
Getty , Furthermore would return object in , question
acquisition country , claim of , theft
acquisition country , could make claim at , time
Getty , would return , object
Getty , Furthermore would return , object
Getty , would return object in , question
object , be , only acquired
it , otherwise publicly documented as , as its country
it , publicly documented as , as its country of origin
object , be , acquired
it , otherwise publicly documented as , as its country of origin
it , otherwise documented as , as its country of origin
it , had , had published
it , had , had published prior
unprovenanced object , be , acquired
it , publicly documented as , as its country
it , documented as , as its country
it , otherwise documented as , as its country
unprovenanced object , be , only acquired
it , documented as , as its country of origin
it , had , had published prior to November 1995
Several pieces , were returned in accordance with , policy
pieces , were , returned
Several pieces , were , returned
pieces , were returned in accordance with , policy
Several pieces , were returned in accordance with , Lee 1999
pieces , were returned in accordance with , Lee 1999
Getty , of , motives
sincerity , was , called
sincerity , Nevertheless was called into , question
sincerity , was called into , question
sincerity , was , called into question by 1996 acquisition
sincerity , Nevertheless was called by , 1996 acquisition of Fleischman Collection
sincerity , was , called into question by 1996 acquisition of Fleischman Collection
sincerity , was called by , 1996 acquisition of Fleischman Collection
sincerity , was called by , 1996 acquisition
sincerity , was , Nevertheless called
sincerity , Nevertheless was called by , 1996 acquisition
sincerity , was , Nevertheless called into question by 1996 acquisition
sincerity , was , Nevertheless called into question by 1996 acquisition of Fleischman Collection
True , declined , offer
True , was offered position at , Metropolitan Museum
True , was offered , position
Dietrich von Bothmer , after , retirement year before
True , was offered position at , Metropolitan Museum in New York
Getty , 's collection is , Eakin 2007
she , was , when presented with opportunity
she , was , when presented
Metropolitan Museum , is in , New York
she , was , presented
Getty , has , antiquities collection
she , was presented with , opportunity
project , cost , $ 275 million
Villa , reopened in , Felch
Villa , reopened in , January 2006
larger change , is in , mission occasioned by reimagining of Getty Villa
1995 revision , was part of , change in mission
which shift , collecting , antiquities
which shift , collecting antiquities to , conservation
revision , was part of , change
revision , was part of , change in mission occasioned
revision , was part of , larger change
shift , is in , primary purpose
which shift , collecting antiquities to , conservation abroad
revision , was part of , change in mission
1995 revision , was part of , larger change
1995 revision , was part of , change
1995 revision , was part of , change in mission occasioned
Getty , had bought , several pieces
help , partner including , Aphrodite Felch
Getty , had bought , pieces
four-year loan , of help is , partner including Aphrodite Felch
help , partner of , antiquities dealer Robin Symes
Getty , had bought , important pieces
Getty , had bought , several important pieces
Michaelides , is with , money borrowed from Fleischmans on twenty-year mortgage
acquisition , is in , 1996
True , was , fired
Getty , 's policy is , Felch
Getty , of , conflict-of-interest policy
she , was ordered , stand
True , receiving , stolen antiquities
True , was charged On , 1 April 2005
True , was , charged
she , stand , trial
she , stand trial in , Rome
she , was ordered , stand in Rome
True , receiving , antiquities
she , stand in , Rome
antiquities , conspiring with , dealers Robert Hecht
stolen antiquities , conspiring with , dealers Robert Hecht
she , was , ordered
Italian investigators , working through , photographic material seized
Italian investigators , working through , material seized
investigators , working through , material seized from Medici 's Geneva storerooms
investigators , working through , material
investigators , working through , photographic material seized
investigators , working through , photographic material seized from Medici 's Geneva storerooms
Italian investigators , working through , material
Medici , from , Geneva storerooms
investigators , working through , photographic material
Italian investigators , working through , photographic material seized from Medici 's Geneva storerooms
Italian investigators , working through , photographic material
investigators , working through , material seized
case , had materialized , began
Italian investigators , working through , material seized from Medici 's Geneva storerooms
It , was , quickly recognized
long established Guglielmo Collection , is in , Italy
True , acquired , BC bronze tripod for Getty
True , acquired , BC bronze tripod
True , acquired , fifth-century BC bronze tripod for Getty
It , was , recognized
True , acquired , fifth-century BC bronze tripod
Italy , in Collection is , Felch
Letters , were , discovered
Letters , were , also discovered
Letters , were also discovered , revealing
Letters , were discovered , revealing
investigators , came , believe
she , sole responsibility for , acquisitions made during tenure as curator
good terms , is with , antiquities dealers
she , sole responsibility for , acquisitions made during her tenure as curator
she , Board of , Eakin 2010
she , Board of , Trustees
Medici , at , storerooms
objects , is in , photographs
trial , was , abandoned without verdict on 13 October 2010 as limitation period
trial , was abandoned as , limitation period on True 's alleged offences
trial , was , abandoned without verdict on 13 October 2010 as limitation period on True 's offences
trial , was abandoned without , verdict
trial , was , abandoned
trial , was , abandoned without verdict on 13 October 2010 as limitation period on True 's alleged offences expired
trial , was abandoned as , limitation period on True 's alleged offences expired
trial , was abandoned as , limitation period on True 's offences expired
trial , was abandoned as , limitation period expired
trial , was , abandoned without verdict as limitation period on True 's alleged offences
True , on , alleged offences
trial , was abandoned without , verdict on 13 October 2010
trial , was abandoned as , limitation period
trial , was , abandoned without verdict as limitation period expired
trial , commenced on , 16 November 2005
