Mosaic stone mask , been looted from , Mexican cave
Mosaic stone mask , been , looted
Mosaic stone mask , said in , objects
Mosaic stone mask , said in , looted objects
Mosaic stone mask , said , have looted from cave
Mosaic stone mask , been looted from , cave
Mosaic stone mask , said , have looted
Mosaic stone mask , said , have looted from Mexican cave
Dumbarton Oaks Research Library , is in , Washington DC
it , was , how looted
story , is , considered
it , moved into , US
story , is considered by , many
story , is , considered by many unbelievable
it , was , looted
Coe 1992 , contacted , Meyer
Sáenz , take flight to , Tabasco
Sáenz , take , flight
Gonzáles , called , three times
Sáenz , take flight to , Villahermosa
Sáenz , take , first flight
compass , was covered with , Meyer 1973
him , get into , small plane
compass , was covered with , cloth
him , get into , plane
compass , was , covered
group , came forward with , antiquities
remote airstrip , is in , foothills of Sierra de Chiapas
They , eventually landed on , remote airstrip in foothills
group , came with , antiquities
They , landed on , airstrip in foothills
They , eventually landed on , airstrip
They , eventually landed on , airstrip in foothills
They , landed on , remote airstrip
group , came forward with , looted antiquities
They , eventually landed on , remote airstrip
They , landed on , airstrip
They , landed on , remote airstrip in foothills
group , came with , looted antiquities
Sáenz , take back , antiquities
Sáenz , take , antiquities
Meyer , states , saying
his , decision , Coe states
villagers , refused , that
they , knew , US sale value of Mexican antiquities
they , produced , Parke-Bernet auction catalogue
they , knew , US sale value
they , knew , US sale value of antiquities
Sáenz , wrote , cheque
Sáenz , wrote , post-dated cheque
Sáenz , wrote , cheque for higher amount
Sáenz , wrote , cheque for amount of mask
Sáenz , wrote , post-dated cheque for higher amount of mask
Sáenz , wrote , cheque for amount
Sáenz , wrote , post-dated cheque for amount of mask
Sáenz , wrote , post-dated cheque for amount
Sáenz , wrote , cheque for higher amount of mask
Sáenz , wrote , post-dated cheque for higher amount
Sáenz , showed , mask
it , was , fake
art expert , felt , authenticator
art expert , felt According to , Meyer
art expert , felt According to , 1973:19
it , was , probably fake
Sáenz , showed mask to , José Luis Franco
it , been , cashed
Sáenz , allegedly put stop purchase order Based on , Franco 's opinion
Franco , Based on , opinion
Sáenz , put stop purchase order Based on , Franco 's opinion
it , been , already cashed
he , instructing , dealer
George Alpha , identified as , Alphonse Jax
dealer , sold , piece
Meyer , calls , George Alpha identified here
Meyer , calls , George Alpha identified here as Alphonse Jax
George Alpha , identified here as , Alphonse Jax
Meyer , calls , George Alpha identified
Meyer , calls , George Alpha identified as Alphonse Jax
Meyer , calls , George Alpha
piece , was , moved
piece , was moved into , United States
Jax , showed piece to , curator of Mexican archaeology
Jax , allegedly showed piece to , curator of Mexican archaeology at Museum of History
Jax , showed piece to , curator of archaeology at American Museum of History
Jax , allegedly showed piece to , curator of Mexican archaeology at American Museum of History
Jax , showed piece to , curator of Mexican archaeology at American Museum of Natural History
Jax , showed piece to , curator of archaeology at American Museum of Natural History
Jax , showed piece to , curator of archaeology at Museum
Jax , showed piece to , curator at Museum
Jax , showed piece to , curator of archaeology
Jax , allegedly showed piece to , curator of Mexican archaeology at Museum
Jax , allegedly showed piece to , curator of archaeology at Museum
Jax , showed , piece
Jax , allegedly showed piece to , curator of archaeology at American Museum of History
Jax , showed piece to , curator of Mexican archaeology at Museum of History
Jax , showed piece to , curator at American Museum
Jax , showed piece to , Dr. Gordon Ekholm
Jax , allegedly showed piece to , curator of archaeology at American Museum of Natural History
Jax , allegedly showed piece to , curator at Museum
Jax , showed piece to , curator
Jax , showed piece to , curator of archaeology at American Museum
Jax , showed piece to , curator of archaeology at Museum of History
Jax , allegedly showed piece to , curator of Mexican archaeology at Museum of Natural History
Jax , allegedly showed piece to , curator at American Museum
Jax , allegedly showed piece to , curator
Jax , allegedly showed piece to , curator of archaeology at American Museum
Jax , allegedly showed piece to , curator at Museum of History
Jax , showed piece to , curator of Mexican archaeology at American Museum of History
Jax , showed piece to , curator of Mexican archaeology at American Museum
