spectacular collection , thought , have looted
spectacular collection , been systematically looted from , sites throughout 1980s now in possession of Museum
collection , been , systematically looted
spectacular collection , been looted from , Guatemalan sites throughout 1980s now in possession of Museum of Fine Arts
spectacular collection , been systematically looted from , sites throughout 1980s in possession of Museum of Fine Arts
collection , been systematically looted from , sites throughout 1980s now in possession of Museum of Fine Arts
spectacular collection , been systematically looted from , Guatemalan sites throughout 1980s in possession of Museum of Arts
collection , thought , have systematically looted from Guatemalan sites throughout 1980s in possession of Museum of Arts
collection , thought , have looted
collection , thought , have systematically looted from sites throughout 1980s in possession of Museum
spectacular collection , been systematically looted from , Guatemalan sites throughout 1980s now in possession of Museum
collection , thought , have systematically looted from sites throughout 1980s in possession of Museum of Arts
spectacular collection , been looted from , sites throughout 1980s now in possession
spectacular collection , thought , have systematically looted from Guatemalan sites throughout 1980s in possession of Museum
spectacular collection , thought , have looted from Guatemalan sites throughout 1980s in possession of Museum of Fine Arts
spectacular collection , been systematically looted from , Guatemalan sites throughout 1980s in possession of Museum of Fine Arts
spectacular collection , been looted from , Guatemalan sites throughout 1980s now in possession of Museum of Arts
spectacular collection , thought , have looted from sites throughout 1980s in possession of Museum
spectacular collection , been looted from , sites throughout 1980s now in possession of Museum of Fine Arts
spectacular collection , thought , have systematically looted from Guatemalan sites
spectacular collection , thought , have looted from Guatemalan sites throughout 1980s in possession
collection , thought , have systematically looted from sites throughout 1980s in possession of Museum of Fine Arts
collection , thought , have looted from Guatemalan sites throughout 1980s in possession of Museum of Arts
collection , thought , have systematically looted from sites
collection , thought , have looted from Guatemalan sites throughout 1980s in possession of Museum
spectacular collection , been looted from , Guatemalan sites
spectacular collection , thought , have systematically looted from sites throughout 1980s in possession of Museum
collection , been looted from , Guatemalan sites throughout 1980s now in possession
collection , thought , have systematically looted from sites throughout 1980s in possession
spectacular collection , thought in , looted objects
spectacular collection , thought , have looted from Guatemalan sites throughout 1980s in possession of Museum of Arts
collection , been looted from , Guatemalan sites
collection , been systematically looted from , Guatemalan sites throughout 1980s now in possession of Museum
spectacular collection , thought , have looted from sites throughout 1980s in possession of Museum of Arts
spectacular collection , been systematically looted from , sites throughout 1980s now in possession of Museum of Arts
spectacular collection , been looted from , Guatemalan sites throughout 1980s in possession
collection , thought , have looted from sites
spectacular collection , thought , have systematically looted from sites throughout 1980s in possession
collection , thought , have looted from sites throughout 1980s in possession of Museum of Fine Arts
spectacular collection , thought in , objects
collection , been looted from , sites throughout 1980s now in possession of Museum of Fine Arts
collection , been systematically looted from , sites throughout 1980s in possession
spectacular collection , been looted from , sites throughout 1980s now in possession of Museum of Arts
spectacular collection , thought , have looted from sites
spectacular collection , been systematically looted from , Guatemalan sites throughout 1980s in possession
spectacular collection , been systematically looted from , sites throughout 1980s now in possession of Museum of Fine Arts
spectacular collection , thought , have looted from sites throughout 1980s in possession of Museum of Fine Arts
collection , thought in , objects
spectacular collection , thought , have systematically looted from Guatemalan sites throughout 1980s in possession
spectacular collection , been looted from , Guatemalan sites throughout 1980s in possession of Museum of Arts
collection , thought , have looted from sites throughout 1980s in possession of Museum of Arts
collection , thought , have looted from Guatemalan sites
collection , thought in , looted objects
collection , been looted from , Guatemalan sites throughout 1980s in possession
collection , been systematically looted from , Guatemalan sites throughout 1980s in possession
collection , thought , have looted from Guatemalan sites throughout 1980s in possession of Museum of Fine Arts
collection , been systematically looted from , sites throughout 1980s now in possession
spectacular collection , been looted from , sites throughout 1980s now in possession of Museum
collection , been looted from , sites throughout 1980s now in possession of Museum of Arts
spectacular collection , been looted from , Guatemalan sites throughout 1980s now in possession
collection , been systematically looted from , Guatemalan sites throughout 1980s now in possession of Museum of Fine Arts
collection , thought , have systematically looted from Guatemalan sites
collection , been looted from , Guatemalan sites throughout 1980s in possession of Museum of Arts
spectacular collection , been systematically looted from , Guatemalan sites throughout 1980s in possession of Museum
spectacular collection , been looted from , Guatemalan sites throughout 1980s in possession of Museum of Fine Arts
collection , thought , have looted from sites throughout 1980s in possession of Museum
spectacular collection , been systematically looted from , sites throughout 1980s in possession of Museum of Arts
spectacular collection , thought , have looted from Guatemalan sites
spectacular collection , been looted from , Guatemalan sites throughout 1980s in possession of Museum
spectacular collection , been looted from , sites throughout 1980s in possession of Museum of Fine Arts
collection , been , looted
spectacular collection , been , systematically looted
collection , thought , have systematically looted from Guatemalan sites throughout 1980s in possession of Museum
spectacular collection , been looted from , sites throughout 1980s in possession of Museum of Arts
collection , been looted from , sites throughout 1980s now in possession of Museum
collection , been systematically looted from , Guatemalan sites throughout 1980s in possession of Museum of Fine Arts
collection , been systematically looted from , Guatemalan sites throughout 1980s now in possession of Museum of Arts
collection , thought , have looted from Guatemalan sites throughout 1980s in possession
collection , been systematically looted from , sites throughout 1980s now in possession of Museum of Arts
collection , been systematically looted from , sites
collection , been looted from , sites throughout 1980s now in possession
spectacular collection , been systematically looted from , sites
collection , been systematically looted from , Guatemalan sites throughout 1980s in possession of Museum of Arts
collection , been systematically looted from , Guatemalan sites
spectacular collection , thought , have looted from Guatemalan sites throughout 1980s in possession of Museum
spectacular collection , been systematically looted from , sites throughout 1980s in possession of Museum
spectacular collection , been systematically looted from , sites throughout 1980s in possession
spectacular collection , been systematically looted from , sites throughout 1980s now in possession
spectacular collection , been systematically looted from , Guatemalan sites throughout 1980s now in possession of Museum of Arts
spectacular collection , been looted from , sites throughout 1980s in possession of Museum
collection , thought , have looted from sites throughout 1980s in possession
collection , been systematically looted from , sites throughout 1980s in possession of Museum
collection , been looted from , Guatemalan sites throughout 1980s in possession of Museum
spectacular collection , thought , have systematically looted from Guatemalan sites throughout 1980s in possession of Museum of Arts
spectacular collection , been looted from , sites throughout 1980s in possession
collection , been looted from , sites throughout 1980s in possession
collection , been systematically looted from , sites throughout 1980s in possession of Museum of Fine Arts
spectacular collection , thought , have looted from sites throughout 1980s in possession
collection , thought , have systematically looted from Guatemalan sites throughout 1980s in possession
spectacular collection , thought , have systematically looted
collection , been systematically looted from , Guatemalan sites throughout 1980s in possession of Museum
collection , thought , have systematically looted
collection , been systematically looted from , sites throughout 1980s in possession of Museum of Arts
collection , been looted from , sites
collection , been looted from , sites throughout 1980s in possession of Museum of Arts
collection , been looted from , Guatemalan sites throughout 1980s in possession of Museum of Fine Arts
collection , thought , have systematically looted from Guatemalan sites throughout 1980s in possession of Museum of Fine Arts
collection , been looted from , Guatemalan sites throughout 1980s now in possession of Museum
collection , been systematically looted from , Guatemalan sites throughout 1980s now in possession
spectacular collection , thought , have systematically looted from sites throughout 1980s in possession of Museum of Fine Arts
spectacular collection , thought , have systematically looted from sites throughout 1980s in possession of Museum of Arts
collection , been looted from , Guatemalan sites throughout 1980s now in possession of Museum of Fine Arts
collection , been looted from , Guatemalan sites throughout 1980s now in possession of Museum of Arts
collection , been systematically looted from , sites throughout 1980s now in possession of Museum
spectacular collection , been , looted
collection , been looted from , sites throughout 1980s in possession of Museum
spectacular collection , been systematically looted from , Guatemalan sites throughout 1980s now in possession
spectacular collection , thought , have systematically looted from Guatemalan sites throughout 1980s in possession of Museum of Fine Arts
spectacular collection , been looted from , Guatemalan sites throughout 1980s now in possession of Museum
collection , been looted from , sites throughout 1980s in possession of Museum of Fine Arts
spectacular collection , been looted from , sites
spectacular collection , been systematically looted from , Guatemalan sites
spectacular collection , thought , have systematically looted from sites
spectacular collection , been systematically looted from , Guatemalan sites throughout 1980s now in possession of Museum of Fine Arts
multi-story dollar extension , focused on , artistic output of North
multi-story multi-million dollar extension , focused on , output of North
multi-story multi-million dollar extension , focused on , artistic output of North
multi-story dollar extension , focused on , artistic output
dollar extension , focused on , artistic output of North
multi-story multi-million dollar extension , focused on , output
multi-million dollar extension , focused on , artistic output of North
Museum , unveiled , its Art of Americas Wing
multi-million dollar extension , focused on , artistic output
dollar extension , focused on , output
multi-story dollar extension , focused on , output
multi-story dollar extension , focused on , output of North
multi-story multi-million dollar extension , focused on , artistic output
multi-million dollar extension , focused on , output of North
Museum , unveiled , its Art
dollar extension , focused on , artistic output
multi-million dollar extension , focused on , output
dollar extension , focused on , output of North
feature , is impressive group of , Classic Maya polychrome pottery known as November Collection
prominent feature , is , impressive group
feature , is group of , Classic polychrome pottery
prominent feature , is impressive group of , Classic Maya polychrome pottery
prominent feature , is , group
prominent feature , is group of , Classic Maya polychrome pottery known
prominent feature , is impressive group of , Classic Maya polychrome pottery known as November Collection
feature , is , group
feature , is impressive group of , Classic polychrome pottery known as November Collection
prominent feature , is group of , Classic polychrome pottery known as November Collection
feature , is group of , Classic polychrome pottery known as November Collection
prominent feature , is group of , Classic Maya polychrome pottery known as November Collection
prominent feature , is impressive group of , Classic Maya polychrome pottery known
feature , is , impressive group
feature , is impressive group of , Classic polychrome pottery known
feature , is group of , Classic Maya polychrome pottery known as November Collection
feature , is impressive group of , Classic polychrome pottery
prominent feature , is impressive group of , Classic polychrome pottery known as November Collection
feature , is impressive group of , Classic Maya polychrome pottery
prominent feature , is impressive group of , Classic polychrome pottery
feature , is impressive group of , Classic Maya polychrome pottery known
feature , is group of , Classic polychrome pottery known
prominent feature , is group of , Classic Maya polychrome pottery
feature , is group of , Classic Maya polychrome pottery known
feature , is group of , Classic Maya polychrome pottery
prominent feature , is group of , Classic polychrome pottery
prominent feature , is impressive group of , Classic polychrome pottery known
feature , is , impressive
prominent feature , is group of , Classic polychrome pottery known
collection , contains , some finest examples of prowess
collection , comprises , 138 pieces
collection , contains , some of examples of prowess
some , examples of , prowess
collection , contains , some finest examples
collection , contains , some of finest examples of Maya artistic prowess
collection , contains , some of examples of Maya artistic prowess
collection , contains , some examples of Maya prowess
some , examples of , artistic prowess
collection , contains , some of finest examples of prowess
collection , contains , some examples of prowess
some , finest examples of , Maya artistic prowess
some , examples of , Maya artistic prowess
collection , contains , some finest examples of artistic prowess
collection , contains , some examples
collection , contains , some of examples of Maya prowess
collection , contains , some of finest examples
some , finest examples of , prowess
some , examples of , Maya prowess
collection , contains , some of examples
collection , contains , some of examples of artistic prowess
collection , comprises , 138 pieces of jade
collection , contains , some of finest examples of artistic prowess
collection , contains , some examples of Maya artistic prowess
some , finest examples of , Maya prowess
collection , contains , some of finest examples of Maya prowess
collection , contains , some
some , finest examples of , artistic prowess
collection , contains , some examples of artistic prowess
collection , contains , some finest examples of Maya prowess
collection , contains , some finest examples of Maya artistic prowess
1987 , in Clay is , Boston
Landon T. Clay , is in , 1987
John Fulling , Collectors of , November
November Collection , has , provenance
MFA , gift of , Landon T. Clay
Petén region , is in , 1970s
November Collection , was amassed by , Florida-based collector named
November Collection , was , amassed
November Collection , was amassed by , collector
November Collection , was , initially amassed
November Collection , was initially amassed by , collector
November Collection , was initially amassed by , collector named
November Collection , was initially amassed by , Florida-based collector named
November Collection , was amassed by , Florida-based collector
November Collection , was amassed by , collector named
November Collection , was initially amassed by , Florida-based collector
he , accumulate , one of collections of art
he , accumulate , one of collections
he , accumulate , one collections of Mayan art in North America
he , went into , jungles
he , accumulate , one of collections of art in North America
he , accumulate , one largest collections of Mayan art in North America
he , accumulate , one largest collections of art in North America
he , accumulate , one of largest collections
he , accumulate , one collections
1960 , In , John
Mayan art , is in , North America
he , accumulate , one collections of art in North America
he , accumulate , one of largest collections of Mayan art
he , accumulate , one of largest collections of Mayan art in North America
he , accumulate , one of largest collections of art
he , accumulate , one largest collections of art
he , accumulate , one largest collections of Mayan art
he , went with , guides
he , accumulate , one collections of Mayan art
he , accumulate , one of largest collections of art in North America
he , accumulate , one of collections of Mayan art in North America
he , accumulate , one largest collections
he , accumulate , one of collections of Mayan art
interest , is in , Mayan art
he , went into , jungles of Guatemala
he , accumulate , one collections of art
he , died in , 2005
Guatemalan dealers , is in , 1970s
domestic for-profit corporation , is in , Ft Lauderdale
corporation , as , agent
Cambridge Massachusetts , in Institute is , Storrs 2006
Landon T. Clay , chair of , Eaton Vance Corporation
trustee , donated November Collection to , MFA
honorary trustee , donated November Collection to , MFA
trustee , donated November Collection in , 1988
trustee , donated , November Collection
honorary trustee , donated November Collection in , 1988
honorary trustee , donated , November Collection
Clay , collection at , museum
Clay , formally donating , it
Clay , stored , collection
Clay , donating , Dorfman 1998
Clay , donating , it
Clay , stored , collection at museum
Clay , formally donating , Dorfman 1998
piece , had in , had country
it , is , unclear
piece , had in , had country since 1975
November Collection piece , appears , have published
November Collection piece , been , published
photograph , shows , now MFA accession number 1988.1168
pot , of portion is , now MFA accession number 1988.1168
photograph , shows , MFA accession number 1988.1168
Robicsek , is primary early publisher of , November Collection pieces
same time , is in , 1981
Robicsek , is primary publisher of , November Collection pieces
Robicsek , is , early publisher
Robicsek , is publisher of , November Collection pieces
Robicsek , is early publisher of , November Collection pieces
Robicsek , is , publisher
Robicsek , is , primary publisher
Robicsek , is , primary early publisher
volume , focuses , referring to it
volume , focuses on , corpus
1982 volume , specifically focuses , referring to it
volume , specifically focuses on , corpus
volume , specifically focuses , referring to it
1982 volume , depicts , 22 pieces
volume , referring to , it
1982 volume , referring to , it
volume , specifically focuses , referring as November Collection
1982 volume , focuses , referring
volume , specifically focuses , referring to it as November Collection
1982 volume , focuses , referring as November Collection
1982 volume , focuses , referring to it as November Collection
1982 volume , focuses on , corpus
1982 volume , specifically focuses , referring
1982 volume , specifically focuses , referring to it as November Collection
1982 volume , focuses , referring to it
volume , depicts , 22 pieces
1982 volume , specifically focuses , referring as November Collection
volume , focuses , referring
1982 volume , referring as , November Collection
volume , specifically focuses , referring
volume , focuses , referring as November Collection
1982 volume , specifically focuses on , corpus
volume , referring as , November Collection
volume , focuses , referring to it as November Collection
Coe , has , book
Alan Shestack , director from , 1987
Alan Shestack , director of , MFA
Alan Shestack , director until , 1993
Malcolm Rogers , director of , MFA
Malcolm Rogers , director from , 1994
Shestack , has , successor
Shestack , 's successor is , Malcolm Rogers
MFA , because of , lavish due diligence
Weld S. Henshaw , was quoted in , Boston Globe
Weld S. Henshaw , was , quoted
Weld S. Henshaw , was , Yet quoted
legality issues , is with , objects
Weld S. Henshaw , Yet was quoted in , Boston Globe
he , was unaware of , 1947 Guatemalan law
he , was , unaware
He , told , Boston Globe
He , advised , MFA
official request , was impeded by , unrest in country
request , was , impeded
request , was impeded by , unrest in country
unrest , is in , country
request , was impeded by , unrest
official request , was impeded by , unrest
official request , was , impeded
Guatemalan Cultural Affairs Officer Martina Regina de Fahsen , wrote , letter to MFA inquiring about legality of November Collection
Guatemalan Cultural Affairs Officer Martina Regina Fahsen , wrote , letter to MFA
Guatemalan Cultural Affairs Officer Martina Regina Fahsen , wrote , letter
Guatemalan Cultural Affairs Officer Martina Regina de Fahsen , wrote , letter inquiring
Guatemalan Cultural Affairs Officer Martina Regina Fahsen , wrote , letter to MFA inquiring
Guatemalan Cultural Affairs Officer Martina Regina de Fahsen , wrote , letter to MFA inquiring about legality
Guatemalan Cultural Affairs Officer Martina Regina de Fahsen , wrote , letter inquiring about legality
Guatemalan Cultural Affairs Officer Martina Regina Fahsen , wrote , letter inquiring
Guatemalan Cultural Affairs Officer Martina Regina Fahsen , wrote , letter to MFA inquiring about legality of November Collection
Guatemalan Cultural Affairs Officer Martina Regina Fahsen , wrote letter In , 1989
Guatemalan Cultural Affairs Officer Martina Regina de Fahsen , wrote , letter to MFA inquiring
Guatemalan Cultural Affairs Officer Martina Regina Fahsen , wrote , letter inquiring about legality of November Collection
Guatemalan Cultural Affairs Officer Martina Regina de Fahsen , wrote letter In , 1989
Guatemalan Cultural Affairs Officer Martina Regina Fahsen , wrote , letter to MFA inquiring about legality
Guatemalan Cultural Affairs Officer Martina Regina Fahsen , wrote , letter inquiring about legality
Guatemalan Cultural Affairs Officer Martina Regina de Fahsen , wrote , letter
Guatemalan Cultural Affairs Officer Martina Regina de Fahsen , wrote , letter to MFA
Guatemalan Cultural Affairs Officer Martina Regina de Fahsen , wrote , letter inquiring about legality of November Collection
De Fahsen , told , Boston Globe
objects , were , exported legally
objects , were , exported
country , legal title to , Diesenhouse 1998
their country , pay , have
their country , how much pay , have
MFA representatives , asked , them
their country , much pay , have
Archaeologists , are , unsure
emblem glyphs , are , inscribed
emblem glyphs , are inscribed with , names of Tintal in Mirador Basin
Kerr , has , http://www.mayavase.com/
emblem glyphs , are inscribed with , names
emblem glyphs , are inscribed with , names of Tintal
they , be matched to , archaeological sites
they , be matched to , sites
they , be , matched
they , be , matched definitively
they , be matched definitively to , archaeological sites
It , is , unlikely
they , be matched definitively to , sites
St. Martin , has , Press
Coe , Lords of , Underworld
Arts , is in , America
Diesenhouse , Arts in , America
IFAR , Claim Against , Museum of Fine Arts
Pre-Colombian Objects , for , International Foundation for Art Research Case Summaries <
