Researching , traffic in , objects Stolen from Peru 's national museum
textile , was returned after , several years of Peruvian demands
textile , was returned after , years of demands
textile , was returned after , several years of demands
Researching , traffic in , looted objects Stolen from Peru 's national museum
Peru , from , national museum
textile , Researching , global traffic in looted objects Stolen from Peru 's museum
textile , Researching , traffic in objects Stolen from Peru 's museum
textile , Researching , global traffic in objects Stolen from Peru 's national museum
textile , was , returned in 1989 after years of Peruvian demands
textile , Researching , traffic
textile , Researching , global traffic in objects Stolen from Peru 's museum
global traffic , is in , looted objects Stolen from Peru 's national museum
textile , Researching , traffic in looted objects Stolen from Peru 's national museum
textile , Researching , global traffic in objects
textile , Researching , global traffic
textile , Researching , traffic in objects
textile , Researching , traffic in looted objects Stolen from Peru 's museum
Researching , global traffic in , objects Stolen
Researching , global traffic in , objects Stolen from Peru 's museum
textile , was , returned in 1989 after years of demands
Australia , by , national museum
Researching , global traffic in , looted objects Stolen
textile , Researching , traffic in looted objects
textile , Researching , global traffic in looted objects Stolen
textile , Researching , traffic in looted objects Stolen
textile , Researching , global traffic in looted objects
Researching , traffic in , objects Stolen from Peru 's museum
textile , was , returned in 1989 after years
Researching , global traffic in , looted objects Stolen from Peru 's national museum
Researching , global traffic in , objects
textile , Researching , traffic in objects Stolen
Researching , global traffic in , looted objects
Researching , traffic in , objects Stolen
Researching , global traffic in , objects Stolen from Peru 's national museum
textile , was , returned in 1989 after several years of demands
textile , Researching , traffic in objects Stolen from Peru 's national museum
textile , Researching , global traffic in objects Stolen
Researching , traffic in , looted objects Stolen
Researching , traffic in , looted objects
textile , was returned in , 1989
textile , Researching , global traffic in looted objects Stolen from Peru 's national museum
Researching , traffic in , objects
textile , was returned after , years
Researching , global traffic in , looted objects Stolen from Peru 's museum
textile , was , returned in 1989 after several years of Peruvian demands
Researching , traffic in , looted objects Stolen from Peru 's museum
textile , was , returned in 1989 after several years
textile , was , returned
textile , was returned after , years of Peruvian demands
textile , was returned after , several years
2000-year-old textile , was stolen from , Peru 's National Museum
2000-year-old textile , was , stolen
Peru , from , National Museum in Lima
2000-year-old textile , was stolen from , Peru 's National Museum in Lima
Peru 's National Museum , is in , Lima
mantle , had , had excavated by Peruvian archaeologist Julio Tello in 1927 at archaeological site of Cerro Colorado
mantle , had , had excavated by acclaimed Peruvian archaeologist Julio Tello in 1927 at site of Cerro Colorado
mantle , had , had excavated by acclaimed archaeologist Julio Tello in 1927 at archaeological site
mantle , had , had excavated by acclaimed archaeologist Julio Tello in 1927 at site of Cerro Colorado
mantle , had , had excavated by archaeologist Julio Tello in 1927 at archaeological site
mantle , had , had excavated by acclaimed archaeologist Julio Tello
mantle , had , had excavated by acclaimed archaeologist Julio Tello in 1927 at site
mantle , had , had excavated in 1927 at archaeological site of Cerro Colorado
mantle , had , had excavated by acclaimed archaeologist Julio Tello in 1927 at archaeological site of Cerro Colorado
mantle , had , had excavated in 1927 at site of Cerro Colorado
mantle , had , had excavated by acclaimed Peruvian archaeologist Julio Tello in 1927 at site
mantle , had , had excavated by acclaimed Peruvian archaeologist Julio Tello
mantle , had , had excavated in 1927 at archaeological site
mantle , had , had excavated by archaeologist Julio Tello in 1927 at site
mantle , had , had excavated by archaeologist Julio Tello in 1927 at archaeological site of Cerro Colorado
mantle , had , had excavated by Peruvian archaeologist Julio Tello in 1927 at site
mantle , had , had excavated by Peruvian archaeologist Julio Tello in 1927 at archaeological site
mantle , had , had excavated in 1927 at site
mantle , had , had excavated by Peruvian archaeologist Julio Tello
mantle , had , had excavated by acclaimed Peruvian archaeologist Julio Tello in 1927 at archaeological site of Cerro Colorado
mantle , had , had excavated by acclaimed Peruvian archaeologist Julio Tello in 1927 at archaeological site
mantle , had , had excavated by Peruvian archaeologist Julio Tello in 1927 at site of Cerro Colorado
mantle , had , had excavated by archaeologist Julio Tello in 1927 at site of Cerro Colorado
mantle , had , had excavated
mantle , had , had excavated by archaeologist Julio Tello
It , was , found
Australian National Gallery , purchased , mantle
mantle , paying , a
Australian National Gallery , purchased mantle in , 1974 in London
Australian National Gallery , purchased mantle from , US-based dealer
Australian National Gallery , purchased mantle from , dealer
Australian National Gallery , purchased mantle from , Cochrane 1989
expert , is in , Peruvian textiles
NGA , has , purchase
Professor Jane Dwyer , noticed , NGA 's purchase
Brown University , expert in , Peruvian textiles
She , identified , NGA mantle
detail , is in , late 1960s
detail , is in , Peru 's National Museum
Peru , in , National Museum
She , notified , Peru of purchase
its return , is in , 1982
She , notified , Peru
Peru , asked for , its return
Peru , 's claims is , Thew 1989
NGA , accept , Government
Peru 's claims , initiating , seven years of repatriation demands from Peru
NGA , refused , Government
NGA , accept , mantle
Peru 's claims , initiating , seven years of continued repatriation demands
Peru 's claims , initiating , seven years
NGA , reportedly refused , Australian Government
Peru 's claims , initiating , seven years of repatriation demands
NGA , refused , Australian Government
NGA , accept , Australian Government
