mummy , recovered by , police
manufactured mummy , recovered by , police
global traffic , is in , looted objects
mummy , recovered by , Pakistani police
manufactured mummy , recovered in , 2000
manufactured mummy , recovered by , Pakistani police
mummy , recovered in , 2000
It , appear as , dead daughter
It , been , had made
It , appear as , daughter
It , appear as , dead daughter of Persian King Xerxes
It , appear as , daughter of Persian King Xerxes
Amanollah Riggi , sent Oscar Muscarella In , March 2000
mummy , on , gold breastplate
Amanollah Riggi , sent , Oscar Muscarella
Amanollah Riggi , sent , Oscar Muscarella of New York 's Metropolitan Museum
New York , of , Metropolitan Museum
Riggi , claimed , be acting
Riggi , acting on behalf of , Pakistani acquaintance
Riggi , acting on behalf of , acquaintance
translation , identified mummy as , daughter of fifth-century BC Achaemenid Persian King Xerxes
translation , identified mummy as , daughter of BC Achaemenid Persian King Xerxes
translation , identified mummy as , daughter
translation , identified , mummy
he , been , supplied
he , been supplied with , only part of expert 's full translation
he , been supplied with , part
he , been supplied with , only part
he , been supplied with , part of expert 's full translation
he , been supplied with , part of expert 's translation
he , been supplied with , only part of expert 's translation
expert , of , full translation
Pakistani police , arrested , one Ali Akbar
police , later arrested , one Ali Akbar
police , arrested along , one Ali Akbar
police , later arrested along , one Ali Akbar
Pakistani police , is in , Karachi
Pakistani police , arrested along , one Ali Akbar
Pakistani police , later arrested along , one Ali Akbar
Pakistani police , later arrested , one Ali Akbar
police , arrested , one Ali Akbar
men , contravening , Pakistan 's Antiquity Act
men , were , charged
Pakistan , has , Antiquity Act
Reeki , received mummy from , an Iranian
Reeki , received mummy from , an
Reeki , received , mummy
it , was , where announced as remains of princess
it , was announced at , preliminary press conference
it , was , at preliminary press conference announced as mummified remains of princess
it , was announced as , remains
it , was , where at preliminary press conference announced as remains of Persian princess dating to about 600 BC
it , was , at press conference announced as mummified remains of Persian princess
it , was , where announced as mummified remains of Persian princess
it , was announced as , mummified remains of princess
it , was , where at preliminary press conference announced as mummified remains of Persian princess dating
it , was , at preliminary press conference announced as remains of princess dating to about 600 BC
it , was , where at preliminary press conference announced as remains of Persian princess
it , was , where at preliminary press conference announced as remains of princess
it , was announced as , mummified remains of Persian princess dating
it , was , where announced as remains
it , was , at press conference announced as remains of Persian princess dating
it , was , where announced
it , was , where announced as remains of princess dating
it , was , where at preliminary press conference announced as remains of princess dating
it , was , where announced as remains of Persian princess dating to about 600 BC
it , was , at press conference announced as mummified remains of princess
it , was , where announced as mummified remains
it , was , at press conference announced as remains of princess dating to about 600 BC
it , was , where at press conference announced as mummified remains of princess
it , was , where at press conference announced as remains of Persian princess
it , was announced as , mummified remains of princess dating to about 600 BC
it , was , where at preliminary press conference announced as mummified remains of princess dating to about 600 BC
it , was , at press conference announced as mummified remains of princess dating
it , was , where at preliminary press conference announced
it , was announced as , mummified remains of Persian princess dating to about 600 BC
