civil suit , filed against , collector Benjamin Johnson
suit , filed in , US Court
suit , filed against , collector Benjamin Johnson
civil suit , filed in , US Court
amount , was , trafficked into USA by smuggling ring
large amount , was , trafficked into USA by smuggling ring orchestrated by man
amount , was trafficked by , smuggling ring
amount , was trafficked by , smuggling ring orchestrated by man named
amount , was , In 1987 trafficked by smuggling ring
smuggling ring , orchestrated by , man named
amount , was , In 1987 trafficked by smuggling ring orchestrated by man
large amount , was , In 1987 trafficked by smuggling ring orchestrated by man named
large amount , was , In 1987 trafficked into USA by smuggling ring orchestrated by man named
amount , was trafficked In , 1987
large amount , was , In 1987 trafficked into USA by smuggling ring
large amount , was trafficked In , 1987
amount , was , In 1987 trafficked into USA by smuggling ring
large amount , was , In 1987 trafficked into USA by smuggling ring orchestrated by man
amount , was , trafficked
amount , was , In 1987 trafficked into USA
smuggling ring , orchestrated by , man
amount , was , trafficked into USA by smuggling ring orchestrated by man named
amount , was , trafficked into USA by smuggling ring orchestrated by man
large amount , was trafficked by , smuggling ring orchestrated by man
large amount , was trafficked by , smuggling ring orchestrated
amount , was trafficked by , smuggling ring orchestrated by man
large amount , was , In 1987 trafficked by smuggling ring orchestrated by man
large amount , was , In 1987 trafficked by smuggling ring
large amount , was , trafficked into USA by smuggling ring orchestrated
amount , was , In 1987 trafficked into USA by smuggling ring orchestrated by man
large amount , was , trafficked into USA by smuggling ring orchestrated by man named
amount , was trafficked into , USA
amount , was , In 1987 trafficked into USA by smuggling ring orchestrated
amount , was , In 1987 trafficked by smuggling ring orchestrated by man named
amount , was , In 1987 trafficked into USA by smuggling ring orchestrated by man named
large amount , was , In 1987 trafficked into USA
amount , was , In 1987 trafficked by smuggling ring orchestrated
large amount , was , In 1987 trafficked by smuggling ring orchestrated
large amount , was trafficked into , USA
large amount , was trafficked by , smuggling ring
large amount , was , trafficked into USA by smuggling ring
large amount , was , In 1987 trafficked into USA by smuggling ring orchestrated
amount , was , trafficked into USA by smuggling ring orchestrated
large amount , was , trafficked
amount , was trafficked by , smuggling ring orchestrated
large amount , was trafficked by , smuggling ring orchestrated by man named
his involvement , is in , operation
many felt , was , sentence
Swetnam , was , convicted
Swetnam , was convicted for , his involvement
many felt , was , light sentence
Swetnam , was , given
advocates , filed , civil suit
advocates , filed , suit
advocates , filed , suit against Benjamin Bishop Johnson
advocates , filed , civil suit against Benjamin Bishop Johnson
Pre-Conquest antiquities , of authenticator is , 1
purchased , some of , Atwood 2004
Johnson , authenticated , shipment of Sipán material
purchased , some of , items
Johnson , allegedly authenticated , shipment
it , entered , United States
it , purchased , at least some
Johnson , allegedly authenticated , shipment of Sipán material
it , purchased , some items
it , purchased , at least some of items
purchased , some at , least
it , purchased , some of items
purchased , some , items
purchased , some , Atwood 2004
it , purchased , at least some items
Johnson , authenticated , shipment
it , purchased , some
it , shortly entered , United States
