,Type,Entity 1,Relationship,Type.1,Entity2
0,PERSON,Patterson, However offered piece in ,ORG, question with photocopy of Hales ' alleged authentication document
1,PERSON,Patterson, has ,O, has convicted of fraud for sale
2,PERSON,Patterson, However offered ,O, piece
3,PERSON,Patterson, was sentenced on ,O, smuggling charges
4,PERSON,Patterson, authenticate group in ,O, collection
5,PERSON,Patterson, was ,O, sentenced to year on smuggling charges
6,PERSON,Patterson, has ,GPE, has convicted of fraud in Germany for sale
7,PERSON,Patterson, has ,O, has convicted of fraud for sale of fake head
8,PERSON,Patterson, has ,GPE, has convicted of fraud for sale of fake Olmec head
9,PERSON,Patterson, has ,GPE, has convicted for sale of fake Olmec head
10,PERSON,Patterson, was sentenced to ,O, year
11,PERSON,Patterson, brought ,O, him
12,PERSON,Patterson, has ,O, has convicted for sale
13,PERSON,Patterson, has ,O, has convicted of fraud
14,PERSON,Patterson, offered piece in ,O, question with photocopy
15,PERSON,Patterson, offered ,O, piece
16,PERSON,Patterson, However offered piece in ,O, question
17,PERSON,Patterson, offered piece in ,ORG, question with photocopy of Hales ' alleged authentication document
18,PERSON,Patterson, offered ,O, fresco
19,PERSON,Patterson, authenticate group in ,NORP, Swiss collection
20,ORG,INAH, Decisive In ,PERSON, Conviction Of Leonardo Patterson '
21,PERSON,Patterson, originally offered ,O, fresco
22,PERSON,Patterson, had attempted ,O, sell
23,PERSON,Patterson, was sentenced to ,O, year in prison
24,PERSON,Patterson, was sentenced on ,DATE, Honan 1995
25,PERSON,Patterson, has ,GPE, has convicted of fraud in Germany for sale of fake monumental Olmec head
26,PERSON,Patterson, has ,O, has convicted for sale of fake head
27,PERSON,Patterson, has ,O, has convicted of fraud for sale of fake monumental head
28,PERSON,Patterson, has ,O, has convicted
29,PERSON,Patterson, has ,GPE, has convicted of fraud for sale of fake monumental Olmec head
30,PERSON,Patterson, has ,GPE, has convicted of fraud in Germany for sale of fake Olmec head
31,PERSON,Patterson, However offered piece in ,ORG, question with photocopy of Hales ' authentication document
32,PERSON,Patterson, was ,O, sentenced to year in prison on smuggling charges
33,ORG,INAH, Collaboration Between ,ORG, INAH
34,PERSON,Patterson, originally offered fresco to ,PERSON, Anderson
35,PERSON,Patterson, offered piece in ,ORG, question with photocopy of Hales ' authentication document
36,PERSON,Patterson, has ,GPE, has convicted of fraud in Germany for sale of fake head
37,PERSON,Patterson, offered piece in ,O, question
38,PERSON,Patterson, authenticate ,LOC, group of five Maya frescos
39,PERSON,Patterson, told ,PERSON, Anderson
40,PERSON,Patterson, has ,GPE, has convicted of fraud in Germany for sale of fake monumental head
41,PERSON,Patterson, was sentenced on ,GPE, Honan 1995
42,PERSON,Patterson, However offered piece in ,O, question with photocopy
43,PERSON,Patterson, has ,GPE, has convicted for sale of fake monumental Olmec head
44,PERSON,Patterson, offered fresco to ,PERSON, Anderson
45,PERSON,Patterson, has ,O, has convicted for sale of fake monumental head
46,PERSON,Patterson, has ,GPE, has convicted of fraud in Germany
47,PERSON,Graham, Road to ,O, Ruins
48,PERSON,Patterson, authenticate ,CARDINAL, group of five Maya frescos
49,PERSON,Patterson, authenticate ,O, group
50,PERSON,Patterson, was arrested on ,O, probation
51,PERSON,Patterson, was arrested on ,O, still probation
52,PERSON,Patterson, was ,O, sentenced
53,PERSON,Patterson, authenticate ,CARDINAL, group of five frescos
54,PERSON,Patterson, allegedly told ,PERSON, Anderson
55,ORG,Uigwe, provide ,O, a
56,ORG,Uigwe, include ,O, details of various other activities
57,ORG,Uigwe, Furthermore include ,O, details of various activities including construction techniques for buildings
58,ORG,Uigwe, include ,O, details of other cultural activities including construction techniques for royal buildings
59,GPE,France, to ,LOC, desire sell to South Korea
60,ORG,Uigwe, Furthermore include ,O, details of various other cultural activities including construction techniques for royal buildings
61,GPE,France, to ,GPE, desire sell to South Korea
62,ORG,Uigwe, Furthermore include ,O, details of various activities
63,ORG,Uigwe, include ,O, details of various other activities including construction techniques
64,ORG,Uigwe, Furthermore include ,O, details of activities including construction techniques for buildings
65,GPE,South Korea, request ,O, return of additional cultural property
66,GPE,South Korea, formally request ,GPE, return of property held in Japan
67,GPE,South Korea, formally request ,O, return of additional cultural property held
68,ORG,Uigwe, had ,O, had classified
69,GPE,South Korea, formally request ,O, return of additional cultural property
70,GPE,Korea, of ,PERSON, Joseon
71,ORG,Uigwe, could ,O, could comprised
72,ORG,Uigwe, Furthermore include ,O, details of activities including construction techniques
73,GPE,South Korea, formally request ,O, return of property held
74,GPE,South Korea, formally request ,O, return of property
75,ORG,Uigwe, Furthermore include ,O, details of cultural activities including construction techniques for royal buildings
76,ORG,Uigwe, Furthermore include ,O, details of various cultural activities including construction techniques for royal buildings
77,ORG,Uigwe, include ,O, details of other activities including construction techniques for royal buildings
78,GPE,South Korea, request ,O, return of cultural property held
79,ORG,Uigwe, been ,O, illegally looted
80,ORG,Uigwe, include ,O, details of various cultural activities
81,ORG,Uigwe, include ,O, details of other activities
82,ORG,Uigwe, Furthermore include ,O, details of various other activities
83,ORG,Uigwe, were ,O, written
84,ORG,Uigwe, include ,O, details of various activities including construction techniques for royal buildings
85,ORG,Uigwe, Furthermore include ,O, details
86,GPE,North Korea, retained ,O, ability
87,ORG,Uigwe, comprise ,O, collection
88,ORG,Uigwe, include ,O, details of various other cultural activities including construction techniques
89,ORG,Uigwe, Furthermore include ,O, details of other activities
90,ORG,Uigwe, can ,O, can translated in number of ways
91,ORG,Uigwe, Furthermore include ,O, details of other cultural activities including construction techniques
92,GPE,South Korea, formally request ,GPE, return of additional property held in Japan
93,ORG,Uigwe, were brought to ,GPE, Bibliothèque nationale de France
94,ORG,Uigwe, include ,O, details
95,ORG,Uigwe, were ,GPE, then brought to Bibliothèque nationale de France
96,GPE,South Korea, request ,GPE, return of property held in Japan
97,ORG,Uigwe, were ,O, then brought
98,ORG,Uigwe, include ,O, details of various other activities including construction techniques for buildings
99,GPE,South Korea, request ,GPE, return of cultural property held in Japan
100,ORG,Uigwe, Furthermore include ,O, details of other activities including construction techniques for buildings
101,ORG,Uigwe, include ,O, details of various other cultural activities including construction techniques for buildings
102,ORG,Uigwe, Furthermore include ,O, details of other activities including construction techniques
103,GPE,South Korea, formally request ,O, return of additional property held
104,ORG,Uigwe, include ,O, details of cultural activities including construction techniques for buildings
105,ORG,Uigwe, Furthermore include ,O, details of various cultural activities
106,GPE,South Korea, request ,GPE, return of additional cultural property held in Japan
107,ORG,Uigwe, include ,O, details of various other cultural activities including construction techniques for royal buildings
108,ORG,Uigwe, include ,O, details of other activities including construction techniques
109,ORG,Uigwe, include ,O, details of other cultural activities
110,ORG,Uigwe, include ,O, details of other activities including construction techniques for buildings
111,GPE,South Korea, formally request ,GPE, return of additional cultural property held in Japan
112,ORG,Uigwe, include ,O, details of various cultural activities including construction techniques
113,ORG,Uigwe, include ,O, details of other cultural activities including construction techniques
114,ORG,Uigwe, were ,O, brought
115,ORG,Uigwe, had ,O, had mistakenly classified
116,GPE,South Korea, request ,GPE, return of additional property held in Japan
117,ORG,Uigwe, can ,O, can translated
118,ORG,Uigwe, include ,O, details of various cultural activities including construction techniques for royal buildings
119,ORG,Uigwe, Furthermore include ,O, details of other activities including construction techniques for royal buildings
120,GPE,South Korea, request ,O, return of cultural property
121,ORG,Uigwe, Furthermore include ,O, details including construction techniques for buildings
122,ORG,Uigwe, Furthermore include ,O, details of various cultural activities including construction techniques for buildings
123,ORG,Uigwe, Furthermore include ,O, details of various other cultural activities
124,ORG,Uigwe, Furthermore include ,O, details of various cultural activities including construction techniques
125,ORG,Uigwe, Furthermore include ,O, details of cultural activities including construction techniques for buildings
126,ORG,Uigwe, include ,O, details of various other activities including construction techniques for royal buildings
127,ORG,Uigwe, Furthermore include ,O, details of various activities including construction techniques
128,ORG,Uigwe, Furthermore include ,O, details of cultural activities including construction techniques
129,ORG,Uigwe, include ,O, details of various other cultural activities
130,ORG,Uigwe, Furthermore include ,O, details of activities
131,ORG,Uigwe, Furthermore include ,O, details of other cultural activities
132,GPE,South Korea, formally request ,O, return of cultural property
133,ORG,Uigwe, drawn by ,O, hand
134,ORG,Uigwe, been ,O, looted
135,ORG,Uigwe, Furthermore include ,O, details including construction techniques for royal buildings
136,GPE,South Korea, request ,O, return of property held
137,ORG,Uigwe, include ,O, details of cultural activities including construction techniques for royal buildings
138,ORG,Uigwe, include ,O, details of other cultural activities including construction techniques for buildings
139,ORG,Uigwe, Furthermore include ,O, details of various other activities including construction techniques for royal buildings
140,GPE,Japan, return ,DATE, Chosun Ilbo 2008
141,ORG,Uigwe, include ,O, details of activities
142,ORG,Uigwe, include ,O, details of cultural activities including construction techniques
143,FAC,Changdeokgung Palace, is in ,GPE, Seoul
144,GPE,South Korea, request ,O, return of additional property
145,ORG,Uigwe, Furthermore include ,O, details of various other cultural activities including construction techniques for buildings
146,GPE,South Korea, formally request ,GPE, return of cultural property held in Japan
147,ORG,Uigwe, Furthermore include ,O, details of various activities including construction techniques for royal buildings
148,ORG,Uigwe, include ,O, details of various cultural activities including construction techniques for buildings
149,ORG,Uigwe, include ,O, details including construction techniques for buildings
150,GPE,South Korea, formally request ,O, return of additional property
151,GPE,South Korea, formally request ,O, return of cultural property held
152,ORG,Uigwe, Furthermore include ,O, details of various other cultural activities including construction techniques
